"Profit and emission database, by Robert Höglund www.marginalcarbon.com. CC BY 4.0. Economic data from Forbes Global 2000 List (2021 version with 2020 data). Emission data (for 2020) manually collected (so will likely contain smaller mistakes!) You can make your own filter view and sort the document by clicking Data > Filterview > New temporary filter view",,2 019,2020 data,,,,"185,000,000","185,000,000",,,,,,,,,,,,,,,
2021 Global Rank Forbes 2000,Company Name,Industry,Country/Territory,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions tons CO₂e,Scope 3 emissions tons CO₂e,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions tons CO₂e (location based when available),Scope 1+2,Scope 3 emissions tons CO₂e,Scope 1-3 emissions,Profit per ton in Scope 1+2,Profit per ton in Scope 1+2+3,Share of profit if carbon price for Scope 1-2 is 100 USD,Share of profit if carbon price X for Scope 3,Combined share of profits,Share of Revenue (Sales) Scope 1+2 if carbon price 100 USD,Share of Revenue (sales) Scope 1+2+3 if carbon price 100 USD,CO2 intensity gram CO2/USD. (Scope 1-3/Revenue),1% of profit means,"Datasource emission data (name, link + page nr)",Sales/Revenue,Profit
15,Microsoft,IT Software & Services,United States,117956,3832938,12007357,118100,4102000,4220100,10817706,15037806,"$12,158 ","$3,412 ",15216%,"5,42%",69435%,"0,5093%","1,81%",98,"$34,12","2020 Environmental Sustainability Report, page 73 https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RWyG1q","$153300000000,00","$51310000000,00"
16,Citigroup,Diversified Financials,United States,23095,56878,126229,21236,505224,526460,21829,548289,"$32,424 ","$31,133 ","0,5706%","0,59%",11648%,"0,1154%","0,12%",6,"$311,33","Global ESG Report, page 57 and 58 https://www.citigroup.com/citi/about/esg/download/2020/Global-ESG-Report-2020.pdf?ieNocache=158","$84400000000,00","$17070000000,00"
17,Volkswagen Group,Consumer Durables,Germany,4400000,3360000,447000000,4340000,2800000,7140000,368000000,375140000,"$1,331 ",$25 ,139042%,"730,54%",7444400%,"0,5198%","27,31%",1476,"$0,25","Nonfinancial_Report_2020, page 89 https://www.volkswagenag.com/presence/nachhaltigkeit/documents/sustainability-report/2020/Nonfinancial_Report_2020_e.pdf","$254100000000,00","$9500000000,00"
18,Walmart,Retailing,United States,6520000,12160000,--,7250000,8680000,15930000,--,,$848 ,,218138%,#VALUE!,,"0,53%",#VALUE!,,,https://corporate.walmart.com/esgreport/esg-issues/climate-change,"$559200000000,00","$13510000000,00"
19,Wells Fargo,Banking,United States,91993,771327,3610451,82403,694011,776414,2467847,3244261,"$9,518 ","$2,278 ",19437%,"8,12%",100653%,"0,1672%","0,70%",38,"$22,78","Goals and Reporting, page 33 https://www08.wellsfargomedia.com/assets/pdf/about/corporate-responsibility/goals-performance-data.pdf","$85900000000,00","$7390000000,00"
21,UnitedHealth Group,Insurance,United States,17709,153004,429812,24487,156751,181238,213495,394733,"$93,137 ","$42,763 ","0,1986%","0,43%","0,6312%","0,0128%","0,03%",2,"$427,63","2020_SustainabilityReport, page 62 https://www.unitedhealthgroup.com/content/dam/UHG/PDF/sustainability/final/2020_SustainabilityReport.pdf","$262900000000,00","$16880000000,00"
22,China Merchants Bank,Banking,China,1621,8437,--,1393,8198,9591,--,,"$1,469,086 ",,"0,0126%",#VALUE!,,"0,0029%",#VALUE!,,,"Corporate Social Responsibility Report, page 118 http://file.cmbimg.com/cmbir/202105/af4c85d5-b889-4e0e-8935-7c3df6cdb9bc.pdf","$60400000000,00","$14090000000,00"
24,Allianz,Insurance,Germany,42011,366878,25711408,28714,180827,209541,23314968,23524509,"$37,033 ",$330 ,"0,4996%","56,08%",565825%,"0,0298%","3,35%",181,"$3,30","Allianz Group Sustainability Report 2020, page 107 https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/sustainability/documents/Allianz_Group_Sustainability_Report_2020-web.pdf","$129900000000,00","$7760000000,00"
25,Comcast,Media,United States,676422,3698533,--,547084,1743000,2290084,--,,"$4,598 ",,40234%,#VALUE!,,"0,4089%",#VALUE!,,,"Carbon-Footprint-Data-Report, page 2 https://update.comcast.com/wp-content/uploads/sites/33/dlm_uploads/2021/04/Carbon-Footprint-Data-Report.pdf","$103600000000,00","$10530000000,00"
26,Goldman Sachs Group,Diversified Financials,United States,12673,21782,135473,9418,141583,151001,29295,180296,"$99,867 ","$83,640 ","0,1852%","0,22%","0,4064%","0,0452%","0,05%",3,"$836,40","2020-sustainability-report, page 72 https://www.goldmansachs.com/our-commitments/sustainability/sustainable-finance/documents/reports/2020-sustainability-report.pdf?source=website","$61800000000,00","$15080000000,00"
27,Softbank,Telecommunications Services,Japan,15803,760301,--,15416,605513,620929,3121487,3742416,"$24,045 ","$3,989 ","0,7694%","4,64%",54067%,"0,1634%","0,98%",53,"$39,89","ESG Data, web page https://group.softbank/en/sustainability/esg_data","$70300000000,00","$14930000000,00"
32,China Mobile,Telecommunications Services,Hong Kong,280000,17040000,--,240000,17940000,18180000,--,,$859 ,,215320%,#VALUE!,,"3,02%",#VALUE!,,,"2020 Sustainability Report, page 57 https://www.chinamobileltd.com/en/ir/reports/ar2020/sd2020.pdf","$111300000000,00","$15620000000,00"
33,Facebook,IT Software & Services,United States,44000,208000,4078000,29000,3454000,3483000,4029000,7512000,"$8,366 ","$3,879 ",22112%,"4,77%",69804%,"0,7493%","1,62%",87,"$38,79","2020_FB_Sustainability-Report, page 45 https://sustainability.fb.com/wp-content/uploads/2021/06/2020_FB_Sustainability-Report-3.pdf","$86000000000,00","$29140000000,00"
34,Johnson & Johnson,Drugs & Biotechnology,United States,415094,1167140,12874161,363924,641489,1005413,20006143,21011556,"$14,631 ",$700 ,12645%,"26,43%",276896%,"0,2252%","4,71%",254,"$7,00","johnson-johnson-2020-health-for-humanity-report, page 84 https://healthforhumanityreport.jnj.com/_document/johnson-johnson-2020-health-for-humanity-report?id=00000179-eebd-d0e3-ad7b-feff30750000","$82600000000,00","$14710000000,00"
35,Sony,Consumer Durables,Japan,188000,1188000,14870000,189000,1204000,1393000,17077000,18470000,"$7,243 ",$546 ,25541%,"33,86%",364188%,"0,3225%","4,28%",231,"$5,46","Sustainability Report 2021, page 188 https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2021_E.pdf","$79900000000,00","$10090000000,00"
36,Intel,Semiconductors,United States,1489000,1299000,20342000,1973000,909000,2882000,29866000,32748000,"$7,252 ",$638 ,25511%,"28,99%",315385%,"0,6847%","7,78%",421,"$6,38","CSR-2019-20-Full-Report, page 36 https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2019-20-Full-Report.pdf and page 61 http://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2020-21-Full-Report.pdf","$77870000000,00","$20900000000,00"
37,CVS Health,Retailing,United States,157114,1024682,21600950,165384,977380,1142764,10893887,12036651,"$6,283 ",$597 ,29444%,"31,01%",339581%,"0,2714%","2,86%",155,"$5,97","Sustainability report Annex, page 32-34 https://www.cvshealth.com/sites/default/files/2020-csr-report-appendix.pdf","$77900000000,00","$7180000000,00"
38,RBC,Banking,Canada,24814,89769,29737,23268,77668,100936,11569,112505,"$87,085 ","$78,130 ","0,2124%","0,24%","0,4492%","0,0435%","0,05%",3,"$781,30","2020-ESG-Report, Page 62 https://www.rbc.com/community-social-impact/_assets-custom/pdf/2020-ESG-Report.PDF","$42900000000,00","$8790000000,00"
39,Nestlé,"Food, Drink & Tobacco",Switzerland,3300000,2300000,--,3260000,1910000,5170000,114000000,119170000,"$2,520 ",$109 ,73404%,"169,20%",1765380%,10639%,"24,52%",1326,"$1,09","2021-tcfd-report, page 24 https://www.nestle.com/sites/default/files/2022-03/2021-tcfd-report.pdf, 2019 page 58 https://www.nestle.com/sites/default/files/2020-03/creating-shared-value-report-2019-en.pdf","$89900000000,00","$13030000000,00"
40,HSBC Holdings,Banking,United Kingdom,22000,392000,272000,20000,343000,363000,81000,444000,"$10,964 ","$8,964 ",16873%,"2,06%",37511%,"0,1108%","0,14%",7,"$89,64","Annual Report and Accounts 2021, page 54 file:///C:/Users/muham/Downloads/220222-annual-report-and-accounts-2021.pdf and report for 2019 is file:///C:/Users/muham/Downloads/200218-co2-emissions-reporting-guidance-2019.pdf ; ESG Datapack 2021, page 7 file:///C:/Users/muham/Downloads/220222-esg-datapack-2021.pdf","$60600000000,00","$3980000000,00"
41,Daimler,Consumer Durables,Germany,1239,2982,--,1027000,1492000,2519000,--,,"$1,640 ",,112837%,#VALUE!,,"0,2649%",#VALUE!,,,"Daimler Sustainability Report 2020, page 63 https://sustainabilityreport.daimler.com/2020/servicepages/downloads/files/daimler-sr-2020.pdf","$175900000000,00","$4130000000,00"
42,TD Bank Group,Banking,Canada,50711,107366,1435704,42512,93999,136511,1769517,1906028,"$66,661 ","$4,774 ","0,2775%","3,87%",41524%,"0,0651%","0,91%",49,"$47,74","2020 ESG Report, page 83 https://www.td.com/document/PDF/ESG/2020-ESG-Report.pdf","$38800000000,00","$9100000000,00"
43,Nippon Telegraph & Tel,Telecommunications Services,Japan,138000,3060000,19650000,137000,2933000,3070000,--,,"$2,713 ",,68181%,#VALUE!,,"0,5149%",#VALUE!,,,"Esg_report_2021, page 3 https://group.ntt/en/csr/data/pdf/esg_report_2021e.pdf","$110300000000,00","$8330000000,00"
45,General Electric,Conglomerates,United States,1000000,1390000,--,920000,1160000,2080000,--,,"$2,683 ",,68961%,#VALUE!,,"0,4816%",#VALUE!,,,"Sustainability Report, page 8 https://www.ge.com/sites/default/files/ge2020_sustainability_report.pdf","$79900000000,00","$5580000000,00"
46,Procter & Gamble,Household & Personal Products,United States,2217000,1843000,--,2218000,402000,2620000,--,,"$5,286 ",,34996%,#VALUE!,,"0,6550%",#VALUE!,,,"Sustainability / CSR Annual Report, page 157 https://downloads.ctfassets.net/oggad6svuzkv/6nH6D1AQHdsESZJpiRHTw8/f41717fbe7d00e6b63eaf201b6f3ab21/citizenship_report_2020_full__2_.pdf","$74000000000,00","$13850000000,00"
47,General Motors,Consumer Durables,United States,1589700,4381970,249384317,1214124,3087816,4301940,249384317,253686257,"$1,495 ",$25 ,123773%,"729,89%",7422678%,"0,6497%","38,31%",2071,"$0,25","GM_2020_SR, page 221 https://www.gmsustainability.com/_pdf/resources-and-downloads/GM_2020_SR.pdf","$122500000000,00","$6430000000,00"
52,Mitsubishi UFJ Financial,Banking,Japan,19926,368573,15918,9560,162159,171719,3526,175245,"$30,049 ","$29,444 ","0,6157%","0,63%",12440%,"0,0567%","0,06%",3,"$294,44","MUFG;Sustainability Report, page 74 https://www.mufg.jp/dam/csr/report/2021/en_all.pdf","$56000000000,00","$5160000000,00"
54,AXA Group,Insurance,France,37889,62765,90584,26292,40894,67186,17460,84646,"$50,755 ","$40,285 ","0,3645%","0,46%","0,8237%","0,0096%","0,01%",1,"$402,85","Universal Registration Document 2020, page 190 https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com/d6aef906-e41f-40c7-ac9c-29044e98939d_AXA_URD_2020_EN_accessible_b.pdf","$129500000000,00","$3410000000,00"
55,AIA Group,Insurance,Hong Kong,3640,45263,10846,2167,38029,40196,2354,42550,"$143,795 ","$135,840 ","0,1287%","0,14%","0,2648%","0,0175%","0,02%",1,"$1358,40","AIA_ESG, page 89 https://www.aia.com/content/dam/group/en/esg/AIA_ESG_En.pdf","$42600000000,00","$5780000000,00"
55,Reliance Industries,Oil & Gas Operations,India,47500000,1450000,--,44670000,1250000,45920000,--,,$124 ,,1490386%,#VALUE!,,"13,88%",#VALUE!,,,"Natural Capital, https://www.ril.com/ar2020-21/natural-capital.html","$61200000000,00","$5700000000,00"
58,Pfizer,Drugs & Biotechnology,United States,697313,1176828,--,654460,551000,1205460,--,,"$7,980 ",,23182%,#VALUE!,,"0,4685%",#VALUE!,,,"Pfizer_Inc-CDP_Climate_Change_Questionnaire_2021, Page 33 and 34 https://cdn.pfizer.com/pfizercom/Pfizer_Inc-CDP_Climate_Change_Questionnaire_2021.pdf","$47600000000,00","$9620000000,00"
59,IBM,IT Software & Services,United States,80159,827369,315095,73941,530365,604306,275882,880188,"$9,250 ","$6,351 ",19999%,"2,91%",49129%,"0,1519%","0,22%",12,"$63,51","2020 IBM and the Environment Report, Page 32 https://www.ibm.com/ibm/environment/annual/IBMEnvReport_2020.pdf","$73600000000,00","$5590000000,00"
61,BMW Group,Consumer Durables,Germany,642259,302574,75042286,642885,84257,727142,65100863,65828005,"$5,914 ",$65 ,31284%,"283,21%",2863419%,"0,1193%","10,80%",584,"$0,65","BMW Group Report 2020, page 96 https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/ir/downloads/en/2021/hv/BMW_Group_Report_2020.pdf","$112800000000,00","$4300000000,00"
62,MetLife,Insurance,United States,25487,99570,28614,14515,66332,80847,3224,84071,"$66,917 ","$64,350 ","0,2765%","0,29%","0,5640%","0,0221%","0,02%",1,"$643,50","MetLife 2020 Sustainability Report, page 161 MetLife 2020 Sustainability Report","$67800000000,00","$5410000000,00"
65,Novartis,Drugs & Biotechnology,Switzerland,485000,411600,191300,396400,392200,788600,27000,815600,"$10,233 ","$9,895 ",18078%,"1,87%",36775%,"0,3002%","0,31%",17,"$98,95","Novartis in Society ESG Report 2020, page 65 https://www.novartis.com/sites/novartis_com/files/novartis-in-society-report-2020.pdf","$48600000000,00","$8070000000,00"
66,Taiwan Semiconductor,Semiconductors,Taiwan,2071642,6697871,10614056,2450354,7459856,9910210,5511486,15421696,"$1,885 ","$1,211 ",98147%,"15,27%",250878%,38116%,"5,93%",321,"$12,11","2020 Corporate Social Responsibility Report, Page 94 https://esg.tsmc.com/download/file/2020-csr-report/english/pdf/e-all.pdf","$48100000000,00","$18680000000,00"
67,Home Depot,Retail and Wholesale,United States,554000,1394000,2665000,607000,1214000,1821000,2916000,4737000,"$7,068 ","$2,717 ",26176%,"6,81%",94268%,"0,2552%","0,66%",36,"$27,17","2021 ESG Report, page 16 https://corporate.homedepot.com/sites/default/files/THD_2021ESGReport_singlepages_0.pdf","$132000000000,00","$12870000000,00"
68,Siemens,Conglomerates,Germany,,,,424000,253000,677000,507691000,508368000,"$7,282 ",$10 ,25405%,"1907,67%",19102094%,"0,2159%","162,15%",8765,"$0,10","2019, page 29 https://assets.new.siemens.com/siemens/assets/api/uuid:16c327d3-3e02-427e-952f-e7f610d954fe/siemens-sustainability-information-2019.pdf ; 2020, page 77 https://assets.new.siemens.com/siemens/assets/api/uuid:4806da09-01c7-40b1-af91-99af4b726653/sustainability2021-en.pdf","$58000000000,00","$4930000000,00"
70,PepsiCo,"Food, Drink & Tobacco",United States,84646,0,621711,3916188,2840665,6756853,2128443,8885296,"$1,110 ",$844 ,166669%,"21,92%",385840%,17532%,"2,31%",125,"$8,44","2019, page 49 https://www.pepsico.com/docs/album/esg-topics-policies/2020-cdp-climate-response.pdf?sfvrsn=2df611c8_8 ; 2020, page 1 https://www.pepsico.com/docs/album/esg-topics-policies/apex_independent_assurance_statements.pdf?sfvrsn=b129ba58_10","$71300000000,00","$7500000000,00"
71,Oracle,IT Software & Services,United States,18210,384730,1701461,10300,419277,429577,1577176,2006753,"$29,867 ","$6,393 ","0,6194%","2,89%",35130%,"0,2002%","0,94%",51,"$63,93","Oracle Corporate Citizenship Data Sheet, page 2 https://www.oracle.com/a/ocom/docs/corporate/citizenship/ccr-datasheet.pdf","$39700000000,00","$12830000000,00"
72,Sanofi,Drugs & Biotechnology,France,530118,352435,5110721,498091,255835,753926,5233393,5987319,"$18,623 ","$2,345 ","0,9934%","7,89%",88827%,"0,3394%","2,70%",146,"$23,45","DEU Chap 4 - EN Final, page 50 and 51 https://www.sanofi.com/-/media/Project/One-Sanofi-Web/Websites/Global/Sanofi-COM/Home/en/our-responsibility/docs/documents-center/brochures/Declaration-of-Extra-Financial-Performance.pdf?la=en&hash=463A22969391C0FCAC98E2398C80DD0C","$41100000000,00","$14040000000,00"
73,Enel,Utilities,Italy,70000000,5400000,56900000,45300000,5000000,50300000,47700000,98000000,$59 ,$30 ,3122651%,"608,39%",9206544%,"13,03%","25,39%",1373,"$0,30","Sustainability Report 202, page 40 https://www.enel.com/content/dam/enel-com/documenti/investitori/sostenibilita/2020/sustainability-report_2020.pdf","$71400000000,00","$2980000000,00"
74,AbbVie,Drugs & Biotechnology,United States,315000,250000,--,265000,243000,508000,--,,"$8,957 ",,20655%,#VALUE!,,"0,2052%",#VALUE!,,,"2020 Environment and Safety Report, page 5 https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/societal-impact/2020-environment-and-safety-performance-report.pdf","$45800000000,00","$4550000000,00"
75,Cisco Systems,Technology Hardware & Equipment,United States,45394,924573,21688162,38743,607218,645961,20311866,20957827,"$15,682 ",$483 ,11797%,"38,27%",394541%,"0,2490%","8,08%",437,"$4,83",https://www.cisco.com/c/m/en_us/about/csr/esg-hub/environment/scope-1-2-ghg-emissions.html ; scope 3 https://www.cisco.com/c/m/en_us/about/csr/esg-hub/environment/scope-3-ghg-emissions.html,"$48000000000,00","$10130000000,00"
75,Zurich Insurance Group,Insurance,Switzerland,47418,50667,115304,16437,11278,27715,38994,66709,"$136,749 ","$56,814 ","0,1353%","0,33%","0,4609%","0,0088%","0,02%",1,"$568,14",https://www.zurich.com/sustainability/sustainable-operations/our-environmental-kpis?page_url_input_url=https%3a%2f%2fwww.zurich.com%2fsustainability%2fenvironment%2four-environmental-kpis,"$58400000000,00","$3790000000,00"
77,Bank of Nova Scotia,Banking,Canada,15221,99393,20168,12783,98282,111065,7193,118258,"$45,739 ","$42,957 ","0,4045%","0,43%","0,8351%","0,0669%","0,07%",4,"$429,57","2020 ESG Report, Page 11 https://www.scotiabank.com/content/dam/scotiabank/canada/en/documents/about/Scotiabank_2020_ESG_Report_Final.pdf","$30700000000,00","$5080000000,00"
78,Commonwealth Bank,Banking,Australia,7624,78756,99580,12526,103528,116054,57454,173508,"$49,546 ","$33,140 ","0,3734%","0,56%","0,9316%","0,0958%","0,14%",8,"$331,40","2021-annual-report-sustainability, page 3 https://www.commbank.com.au/content/dam/commbank-assets/investors/docs/results/fy21/2021-annual-report-sustainability-performance-metrics.pdf","$22400000000,00","$5750000000,00"
79,BHP Group,Materials,Australia,9700000,6200000,431100000,9600000,6300000,15900000,415700000,431600000,$436 ,$16 ,424459%,"1152,18%",11946248%,"6,38%","173,20%",9362,"$0,16","BHP Annual Report 2021, page 42 and 44 file:///C:/Users/muham/Downloads/210914_bhpannualreport2021.pdf","$46100000000,00","$6930000000,00"
79,UBS,Banking,Switzerland,10574,216096,19636,9972,136524,146496,61215,207711,"$44,643 ","$31,486 ","0,4144%","0,59%",10020%,"0,0842%","0,12%",6,"$314,86","Ubs-sustainability-report-2021, page 111 file:///C:/Users/muham/Downloads/ubs-sustainability-report-2021.pdf","$32200000000,00","$6540000000,00"
81,British American Tobacco,"Food, Drink & Tobacco",United States,396000,386000,6781000,342000,199000,541000,5587000,6128000,"$15,176 ","$1,340 ",12191%,"13,81%",150276%,"0,3024%","3,43%",185,"$13,40","BAT_ESG_Report_2021, page 17 https://www.bat.com/group/sites/UK__9D9KCY.nsf/vwPagesWebLive/DOAWWEKR/$file/BAT_ESG_Report_2021.pdf?open&v=1","$33100000000,00","$8210000000,00"
82,Honda Motor,Consumer Durables,Japan,1380000,4090000,309820000,1240000,3790000,5030000,298090000,303120000,$771 ,$13 ,239832%,"1445,29%",14692719%,"0,76%","46,04%",2489,"$0,13","2021 Sustainability Report, page 72 https://global.honda/content/dam/site/global/about/cq_img/sustainability/report/pdf/2021/Honda-SR-2021-en-all.pdf","$121800000000,00","$3880000000,00"
82,Intesa Sanpaolo,Banking,Italy,45398,33708,106824,49950,37714,87664,45300,132964,"$42,663 ","$28,128 ","0,4336%","0,66%",10913%,"0,0354%","0,05%",3,"$281,28",https://group.intesasanpaolo.com/en/sustainability/environment/direct-environmental-impacts/greenhouse-gas-emissions/results-and-targets,"$45800000000,00","$3740000000,00"
84,Merck & Co.,Drugs & Biotechnology,United States,799000,732200,6965600,738400,392400,1130800,7103450,8234250,"$6,252 ",$859 ,29590%,"21,55%",245054%,"0,4377%","3,19%",172,"$8,59","(ESG) Progress Report 2020/2021, page 102 https://www.merck.com/wp-content/uploads/sites/5/2021/09/Merck-ESG-Report.pdf","$47800000000,00","$7070000000,00"
86,Rio Tinto,Materials,Australia,23100000,8300000,0,22800000,8700000,31500000,570000000,601500000,$308 ,$16 ,600154%,"1146,01%",12060247%,"13,10%","250,06%",13517,"$0,16","Climate Change Report 2020, page 33 file:///C:/Users/muham/Downloads/RT-climate-report-2020.pdf","$44500000000,00","$9710000000,00"
87,Japan Post Holdings,Insurance,Japan,37024,38632,14245,872102,636544,1508646,1169251,2677897,"$2,804 ","$1,580 ",65981%,"11,71%",183099%,"0,2618%","0,46%",25,"$15,80",https://www.japanpost.jp/en/sustainability/library/data/,"$106600000000,00","$4230000000,00"
89,Anthem,Drugs & Biotechnology,United States,14179,98988,1174488,12163,91828,103991,912080,1016071,"$43,946 ","$4,498 ","0,4210%","4,11%",45342%,"0,0158%","0,15%",8,"$44,98","ESG Progress Report 2018–2020, page 8 https://www.antheminc.com/annual-report/2020/documents/ANTM_ESG20_Progress.pdf","$121900000000,00","$4570000000,00"
90,Unilever,Household & Personal Products,United Kingdom,659028,443897,61020357,606771,171906,778677,60388592,61167269,"$8,155 ",$104 ,22686%,"178,20%",1804724%,"0,2492%","19,58%",1058,"$1,04","Annual Report and Accounts 2020, page 59 https://assets.unilever.com/files/92ui5egz/production/e665693f2bd2efbbde5658baf84043df7937cfd7.pdf","$57800000000,00","$6350000000,00"
93,Manulife,Insurance,Canada,714636,652618,464091,555933,253000,808933,479087,1288020,"$5,415 ","$3,401 ",34167%,"5,44%",88570%,"0,2616%","0,42%",23,"$34,01","Manulife 2020 Sustainability Report, page 57 https://www.manulife.com/content/dam/corporate/global/en/documents/pas/MFC_SR_PAS_2020.pdf","$57200000000,00","$4380000000,00"
94,Hon Hai Precision,Technology Hardware & Equipment,Taiwan,117384,8335373,--,152602,5265000,5417602,102140,5519742,$639 ,$627 ,289669%,"29,51%",584800%,"0,55%","0,56%",30,"$6,27","CSR report 2019, page 93 https://www.honhai.com/s3/reports/CSR%E5%A0%B1%E5%91%8A%E6%9B%B8/%E8%8B%B1%E6%96%87%E7%89%88/2019%E9%B4%BB%E6%B5%B7%20CSR%20report_en.pdf ; CSR report 2020, page 100 https://www.honhai.com/s3/reports/CSR%E5%A0%B1%E5%91%8A%E6%9B%B8/%E8%8B%B1%E6%96%87%E7%89%88/2020%20Foxconn%20CSR%20Report_en.pdf","$182000000000,00","$3460000000,00"
