Account Number,City Name,Country,City Short Name,C40,Reporting Year,Measurement Year,Boundary,Primary Methodology,Methodology Details,Gases included,Total City-wide Emissions (metric tonnes CO2e),Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Increase/Decrease from last year,Reason for increase/decrease in emissions,Current Population Year,Current Population,City GDP,GDP Currency,Year of GDP,GDP Source,Average annual temperature (in Celsius)​,​Land area (in square km),Average altitude (m),City Location,Country Location
14874,"City of Portland, OR",USA,"Portland, OR",C40,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2; CH4; N2O,6974544,4610317,2364227,Decreased,,2014,619360,163692000000,USD     US Dollar,2013,2013 GDP & personal income. U.S. Department of Commerce Bureau of Economic Analysis,12.5,376,77,"(45.52, -122.6819)","(37.09024, -95.712891)"
49386,City of Hiroshima,Japan,Hiroshima,,2016,03/31/2014 12:00:00 AM,Administrative boundary of a local government,Other,環境省のマニュアル,CO2; PFCs; CH4; SF6; N2O; HFCs,8675437,,,,,2015,1191030,4874634000000,JPY     Japanese yen,2012,市民経済計算,16.6,907,,"(34.385203, 132.455293)","(36.204824, 138.252924)"
54408,Aarhus Kommune,Denmark,Aarhus Kommune,,2016,01/01/2016 12:00:00 AM,Administrative boundary of a local government,Other,CO2-beregneren (National guideline for municipalities),CO2,1900,,,,,2016,320000,,,,,,,,"(56.168393, 10.137373)","(56.26392, 9.501785)"
58609,City of Ærøskøbing,Denmark,City of Ærøskøbing,,2016,12/31/2015 12:00:00 AM,Administrative boundary of a local government,Other,,CO2,225,,,Decreased,More renewable energi.,2015,6200,,,,,10,88,10,"(54.891456, 10.404684)","(56.26392, 9.501785)"
50220,Métropole Nice Côte d'Azur,France,Nice Côte d'Azur,,2016,12/31/2010 12:00:00 AM,A metropolitan area,Other,Bilan Carbone,CO2; PFCs; CH4; SF6; N2O; HFCs,3352154,,,,,2015,550000,,,,,,1400,18,"(43.710173, 7.261953)","(46.227638, 2.213749)"
59595,"City of Brisbane, CA",USA,"Brisbane, CA",,2016,05/01/2016 12:00:00 AM,0,International Emissions Analysis Protocol (ICLEI),,CO2; CH4; N2O,148025,,,Decreased,There was a 10% reduction between 2005 and 2010,2015,4603,,,,,,7.5,,"(37.6808, -122.4)","(37.09024, -95.712891)"
54443,Landeshauptstadt Magdeburg,Germany,Landeshauptstadt Magdeburg,,2016,12/31/2012 12:00:00 AM,A metropolitan area,Other,"Software ECORegion smart from the
Climate Alliance",CO2,1400000,,,,,2015,238000,,,,,9.7,201.8,56,"(52.08889, 11.586164)","(51.165691, 10.451526)"
31175,City of Paris,France,Paris,C40,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,5195663,3359242,1836421,Decreased,"Thanks to Paris' climate change policy especially on sustainable mobility, social housing retrofitting, etc...",2015,2265886,153000000000,EUR     Euro,2013,INSEE,13.6,105,26,"(48.856614, 2.3522219)","(46.227638, 2.213749)"
58310,City of Roanoke,USA,Roanoke,,2016,01/01/2015 12:00:00 AM,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),ICLEI Clean Air and Climate Protection Software,CO2; CH4; N2O,1971679,,,Decreased,The city uses a 2005 baseline and the community emissions have decreased 13.5%. In 2014 emissions are down 4% from 2013. The primary driver of this loss is the reduction of coal in the electric fuel mix.,2013,98465,13900000000,USD     US Dollar,2014,www.roanokeva.gov,14,111,400,"(37.271, -79.9414)","(37.09024, -95.712891)"
44132,Bornova Municipality,Turkey,Bornova ,,2016,12/31/2011 12:00:00 AM,0,Other,,,758627,,,This is our first year of calculation,,2012,416007,,,,,,,,"(35.2141598, 33.2947541)","(38.963745, 35.243322)"
31155,City of Buenos Aires,Argentina,Buenos Aires,C40,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","The GHG emissions are calculated by the Buenos Aires EPA Climate Change team using, primarily, IPCC methodology and reporting based on the city-induced framework of the GCP protocol. The city has already  completed the BASIC approach.",CO2; CH4; N2O,19667128,15561157,4105971,Decreased,"Due to the city mitigation actions, the city´s total GHG emissions have decreased compared to last year. It may be explained, among others factors, because of improvement of the mitigation measures in the Waste Sector: new technologies which have been implemented in order to reduce the volume of waste disposed in landfills. Even though, during 2014, the city recorded the longest heat wave in its history, which has led to an increase in energy consumption for air conditioning and in general a higher residential use of electricity; however, the reductions in the 2014 inventory were achieved by the diminution on natural gas consumption as well as the reductions done in the waste sector,  which in the end managed to diminish the impact of electricity energy subsector. Regarding transport sector, the City has sold little bit less fuel than last year, which is shown in a small decreases of the sector's emissions.
Regarding the evolution of total GHG emissions in the period 2000 - 2014, an increase of 17% is observed. However, in the last 10 years (2005- 2014),the increase was 13%. After the implementation of the Action Plan, is relevant to compare the current level of emissions with those prior to the Plan, in 2008. Emissions in 2014 increased only 1.5% compared to 2008.",2015,3054267,78326876513,USD     US Dollar,2013,"Treasury Secretariat, Buenos Aires City Government",18,202,25,"(-34.6037232, -58.3815931)","(-38.416097, -63.616672)"
32480,City of Adelaide,Australia,Adelaide,,2016,06/30/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,CO2; CH4; N2O,486541,63724,422817,Decreased,"Reduction in electricity consumption, a reduction in the greenhouse gas intensity of the state electricity grid and a change in methodology used for estimating transport inventories.",2015,23169,18360000000,AUD     Australian Dollar,2015,:  http://economy.id.com.au/adelaide,18,16,38,"(-34.928499, 138.600746)","(-25.274398, 133.775136)"
43928,Canberra,Australia,Canberra,,2016,06/30/2015 12:00:00 AM,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The ACT Government receives disaggregated national data each year from the Australian Government which is consistent with the IPCC guidelines. However, the ACT Government is required to record its own electricity, gas and transport data as this is not provided by the national government at the ACT scale.",CO2; CH4; SF6; N2O; HFCs,4003900,1757500,2246400,Increased,"The ACT emissions have increased by 4.6% since the last inventory. This is largely due to two external factors. The first is the National repeal of the carbon price, which saw a higher percentage of supplied energy come from fossil fuels, increasing the emissions factor for the electricity grid despite the ACT’s own renewable energy coming online. The second was a below average minimum winter temperatures which are linked to more days requiring heating for households. The slight increase in demand for electricity, coupled with the increased emission factor saw a spike in emissions from the electricity sector compared to last year.",2016,400000,34866000000,AUD     Australian Dollar,2015,"ABS, 2015",13.5,2358,578,"(-35.3075, 149.1244)","(-25.274398, 133.775136)"
31109,City of Melbourne,Australia,Melbourne,C40,2016,06/30/2015 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","City of Melbourne includes the emissions sources categorised in the GPC. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts.   
* Electricity, gas and water data was provided directly by the utility companies.  
* Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics.  
*The amount of waste produced within the municipality was estimated from a waste survey commissioned by Council and conducted in 2012.
 *Water-borne emissions were included from a private study commissioned by the Port Authority in 2012.",CO2; PFCs; CH4; SF6; N2O; HFCs,4372420,785326,3587094,Decreased,"2013/14 BASIC (including Scope 3 emissions) totals 5,299,572 tCO2e compared to 2014/15 BASIC (including Scope 3 emissions) 5,268,410 tCO2e. This represents a total change of -0.59%. Despite electricity consumption decreasing in the municipality leading to lower scope 2 emissions, scope 1 and 3 emissions have increased. Over this time, the population has increased by 4.96%.",2016,137889,90600000000,AUD     Australian Dollar,2015,http://melbourne.geografia.com.au/,15,38,31,"(-37.814107, 144.96328)","(-25.274398, 133.775136)"
31165,Stadt Heidelberg,Germany,Stadt Heidelberg,C40,2016,12/31/2011 12:00:00 AM,Administrative boundary of a local government,Other,Institut für Energie- und Umweltforschung Heidelberg GmbH,CO2,879900,,,Decreased,"Emissions decreased from 1987 until 2009
Emissions increased from 2009 until 2011",2014,144948,7635000000,EUR     Euro,2011,,13.2,109,114,"(49.398752, 8.672434)","(51.165691, 10.451526)"
31149,City of Athens,Greece,Athens,C40,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,CO2; CH4; N2O,4711576,1260355,3451221,This is our first year of calculation,It is the first an inventory has been developed using the GPC Standard. Previous inventory did not use this methodology so the data cannot be compared.,2011,664046,19951634580,EUR     Euro,2013,www.statistics.gr,17.5,39,208,"(37.98381, 23.727539)","(39.074208, 21.824312)"
31114,City of Sydney,Australia,Sydney,C40,2016,06/30/2015 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Traditionally the City of Sydney has calculated city-wide GHG emissions based on the CCAP reporting tool by Kinesis - a private consultancy commissioned by the City. Recently the City has also developed GPC BASIC inventories for the 2005/06, 2013/14 and  2014/15 years to be compliant with the Compact of Mayors.

The GPC BASIC inventories show lower emissions compared with inventories based on the CCAP tool due to different methodologies and emissions sources. Future year’s reports may be subject to change as the City of Sydney will be updating its inventories in the short term for achieving beyond GPC BASIC compliance.",CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,3556529,359064,3197465,Decreased,"City of Sydney emissions have decreased due to cleaning of the grid, increased network costs leading to greater awareness and behaviour change (indicating there is some price elasticity in electricity consumption), improved energy efficiency, uptake of solar PV installations and weather influences.",2015,205339,110000000000,AUD     Australian Dollar,2015,City Strategic Research Unit,20,26,39,"(-33.8674869, 151.2069902)","(-25.274398, 133.775136)"
42123,City of Goiânia,Brazil,Goiânia,,2016,12/31/2010 12:00:00 AM,Administrative boundary of a local government,Other,"The Protocol for Global Community - Scale GHG Emissions (GPC 2012) was used as standard for the categorization and allocation of emissions and aggregation of results.
The GPC consists of a compilation of guidelines for the preparation of municipal inventories of GHG emissions. The GPC 2012 shares the terminology of various international programs reporting of emissions, including the C40 Cities Climate Leadership Group, the International Local Government GHG Emissions Analysis Protocol (IEAP-ICLEI) and the GHG Protocol Corporate Accounting and Reporting Standard. Moreover, GPC 2012 converses directly with the IPCC 2006 Guidelines for National GHG Inventories.
Aiming at a broad identification of emission sources and the establishment of a flow of information necessary for the completion of this study, four teams were created themes, being: stationary units, mobile units, and waste, industrial processes and product uses. The teams were grouped in four thematic workshops held between 26 and 27 June 2012 at the Administrative Center of the city of Goiania. During the implementation of these workshops were identified institutions and those responsible for sending the information necessary for calculations of emissions of greenhouse gases in the municipality.
For calculations of GHG emissions used the IPCC Inventory Software (IIS) version 2.0, a software developed and provided by the Intergovernmental Panel on Climate Change (IPCC).
The data were placed on the software as a correspondence between GPC and IPCC categories, except in the case of the activities of electricity consumption (scope 2 emissions, the GPC category that has no corresponding IPCC - these emissions have been included in Section 5 - other).
Another category that deserves observation refers to the disposal of solid waste in landfills. For this category we used the GPC, which allocates all expected emissions inventory in the year in which the waste is landfilled, IIS was not used for the calculation of this emission source.",,2016320,,,,,2010,2173141,30131330,BRL     Brazilian Real,2010,IBGE - Brazilian Institute of Geography and Statistical,23.2,739,749,"(-16.6868912, -49.2647943)","(-14.235004, -51.92528)"
35848,Municipality of Belo Horizonte,Brazil,Belo Horizonte,,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","GHG emissions by fuel consumption -Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry.
GHG emissions for electricity consumption - The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. 
GHG emissions per treatment and release of liquid effluents - Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide.There are a fifth STP that employs physicolchemical processes that do not emit greenhouse gases.
A fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration.
GHG emissions by treating municipal solid waste - Landfill - The solids waste generated in Belo Horizonte are taken for disposal in landfill (CTR Macaúbas), where there is no biogas recovery system. It was assumed that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere. A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system.
It is worth mentioning that according to this model first-order decay,  For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif.
Composting - BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane.",CO2; CH4; N2O,3241713,2804787,436925,Increased,"Emissions keeps the growth rate of approximately 5% per year, following the trend projected into the 'business as usual' despite of efforts aimed at its reduction made so far",2015,2502557,81426708,BRL     Brazilian Real,2013,IBGE,21,331,900,"(-19.916681, -43.934493)","(-14.235004, -51.92528)"
36274,Comune di Bologna,Italy,Bologna,,2016,04/01/2009 12:00:00 AM,Administrative boundary of a local government,Other,Sustainable Energy Action Plan Guide Line,CO2,2270524.7,,,Decreased,"Main cause is the economic crisis, secondary are actued mitigation actions",2014,386181,37033,,2010,Bologna Chamber of Commerce,15,140,29,"(44.4856087, 11.3547975)","(41.87194, 12.56738)"
31156,Municipality of Curitiba,Brazil,Curitiba,C40,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Developed in partnership with ICLEI/URBAN LEDS Project,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,3036279,2686488,349791,Increased,"The main difference on the increase of  GEE emissions is on the energy sector not by an increase of consumption but because of an increse on emission factors due to the use o thermoelectric plants. In 2012 the annual national average emission factor was 0,0653 T/CO 2e by MWh produced, while in 2013 the factor increased by 30% to 0,0963 T/CO2e by MWh produced .",2010,1751907,79400000000,BRL     Brazilian Real,2013,http://www.agencia.curitiba.pr.gov.br/publico/conteudo.aspx?codigo=39,18,434,935,"(-25.431063, -49.264693)","(-14.235004, -51.92528)"
50384,Prefeitura de Florianópolis,Brazil,Florianópolis,,2016,12/31/2013 12:00:00 AM,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",IDOM / COBRAPE / BID /PMF (2014),CO2; PFCs; CH4; SF6; N2O; HFCs,1450465,1305206,145259,Increased,"A diferença de emissões entre os anos é de 601.421 tCO2e, ou seja, houve um acréscimo de 42% em 2013 se comparado à 2010. Os setores de maior contribuição foram AFOLU, que deixou de sequestrar 6% e Transportes que passou a emitir 3% a mais.",2010,550000,8787850000,USD     US Dollar,2013,IBGE,20,438,3,"(-27.5949884, -48.5481743)","(-14.235004, -51.92528)"
35880,Municipality of Porto Alegre,Brazil,Porto Alegre,,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,2829128,,,,,2010,1409351,13798686254,BRL     Brazilian Real,2010,Instituto Brasileiro de Geografia e Estatística (IBGE),19.5,469684,10,"(-3.672722, -45.3831)","(-14.235004, -51.92528)"
31180,Región Metropolitana de Santiago,Chile,Región Metropolitana de Santiago,C40,2016,12/31/2013 12:00:00 AM,A metropolitan area,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"GPC was used for organizing information, while for the estimation of emissions (equations and emission factors) the IPCC guidelines was used.",CO2; CH4; N2O,23120027.8,23120027.8,8306669,This is our first year of calculation,This is the firs GHG inventory for the Metropolitan Region of Santiago.,2015,7314176,125301713234,USD     US Dollar,2013,Central Bank of Chile,14,15403,520,"(-33.44889, -70.669265)","(-35.675147, -71.542969)"
36518,Comune di Udine,Italy,Udine,,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,CO2,613588,438005,175583,Stayed the same,respect to the baseline of 2006 the GHG emissions decreased of 4% in 2013,2013,99528,,,,,13,56,113,"(46.0667, 13.2333)","(41.87194, 12.56738)"
50578,City of Windsor,Canada,Windsor,,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),,CO2; CH4; N2O,2475703,2475703,6709,,"Community emissions have decreased by 382,134 tonnes between 2011 and 2014, and by 1,250,176 tonnes.

The largest sources of declines were in Industrial emissions and Commercial and Institutional emissions, respectively, and can likely be credited in no small part to efficiency improvements and the Province's shuttering of goal generation in the grid electricity mix",2011,210891,12065940000,CAD     Canadian Dollar,2014,City Economic Development Planning,10.7,146.3,190,"(42.314937, -83.036363)","(56.130366, -106.346771)"
35872,Municipality of Recife,Brazil,Recife,,2016,12/31/2012 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","In the first Inventory of GHG Emissions of Recife emissions of carbon dioxide ( CO2 ) , nitrous oxide ( N2O ) and methane ( CH4 ) , issued within the limits of the municipality during the year 2012 were recorded . The greenhouse gas emissions was performed for each type of GHG and converted paw tons of CO2 equivalent ( CO2e ) according to the global warming potentials below:
• Carbon dioxide ( CO2 ) = 1 CO2e ;
• Methane ( CH4) CO2 e = 21 ;
• Nitrous oxide ( N2O ) = 310 CO2e .
The methodological approach used in the collection and storage of data was based on the International Protocol for Analysis of Emissions ( EIPA ) . The EIPA Protocol was launched in 2009 by ICLEI in order to promote a specific analysis methodology for local governments , detailing emissions at two levels : government and community.
For purposes Rapporteur , the First Emission Inventory of Greenhouse Effect is according to Global Protocol for Communities ( GPC ) , thus the results presented in this paper goes against this global initiative , providing the opportunity for methodological harmonization with other cities around the world .",CO2; CH4; N2O,1883,,,This is our first year of calculation,This is our first inventory.,2012,1555039,10837028,,2011,IBGE,26,218,4,"(-8.057838, -34.882897)","(-14.235004, -51.92528)"
31176,Prefeitura do Rio de Janeiro,Brazil,Rio de Janeiro,C40,2016,12/31/2012 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Rio de Janeiro was one of the pilot cities to use the GPC first version. We updated the last inventory (2005) and calculated the new one (2012). We used IPCC 2006 with some adaptations to the local context, following the GPC requirements and procedures.",CO2; CH4; N2O,20268045,16171534,4096511,Increased,"The numbers presented here are from the same inventory reported to CDP last year. However, since it was submitted to external verification and the numbers were reviewed according to the recommendations of the verifier there was just a slight increase due to this review.
In comparison to the last Inventory made for the city, which has 2005 as the base year, there was a significant increase in emissions (around 75%) mainly due to the start of operations in 2010 of a new steel mill plant inside the city border, TKCSA.",2015,6476631,282538827000,BRL     Brazilian Real,2013,IBGE,23.7,1224.6,5,"(-22.9054389, -43.5614471)","(-14.235004, -51.92528)"
42120,City of Salvador,Brazil,Salvador,C40,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,3698964,3242166,366395,,,2014,2902927,4745,,2012,IBGE,26,692819,8,"(-12.97304, -38.502304)","(-14.235004, -51.92528)"
60602,"Town of Ajax, ON",Canada,"Ajax, ON",,2016,12/31/2008 12:00:00 AM,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),PCP Protocol method,CO2,538836,6354,,Increased,"Emissions have increased as the population of the Town has increased since 2008 from 103,855 to 130,335 people in 2016.",2011,109600,,CAD     Canadian Dollar,,,7.8,67.1,90,"(43.850855, -79.020373)","(56.130366, -106.346771)"
35475,City of Calgary,Canada,Calgary,,2016,12/31/2015 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",This is the first year using this protocol. The inventory was completed to a BASIC level.,CO2; CH4; N2O,18207232,10448332,7758900,Decreased,The community emissions decreased in 2015. This is likely due to a warm winter season as well as slower economic conditions in the city.,2015,1203915,93000000000,CAD     Canadian Dollar,2015,http://www.calgary.ca/CA/fs/Documents/Corporate-Economics/Calgary-and-Region-Economic-Outlook/Calgary-and-Region-Economic-Outlook-2015-Spring.pdf,4.1,848,1084,"(51.048615, -114.070846)","(56.130366, -106.346771)"
