Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update
2019,840935,Prefeitura de Brasiléia,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,25848,2018,,2020-05-01T03:57:57.217
2019,49359,City of Harare,Harare,Zimbabwe,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,1836552,2019,POINT (30.9328 -17.8284),2020-05-01T03:57:57.217
2019,58357,City of West Hollywood,West Hollywood,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,2008-01-01 - 2008-12-31,,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,,,,,,,,,,,,,,,,34399,2010,POINT (-118.362 34.09),2020-05-01T03:57:57.217
2019,55373,Prefeitura Municipal de Cabreúva,Cabreúva,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,47877,2017,POINT (-47.1367 -23.3058),2020-05-01T03:57:57.217
2019,54342,Jbail-Byblos Municipality,,Lebanon,Middle East,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,,,,,,,,,,,,,,,,,,,,40000000,2019,,2020-05-01T03:57:57.217
2019,832838,Town of Wellfleet,Wellfleet,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-07-01 - 2018-06-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,12422.55,7838.23,21526.21,20314.83,41786.99,,,,3500,2018,POINT (-70.031 41.9305),2020-05-01T03:57:57.217
2019,54667,Prefeitura Municipal de Contagem,Contagem,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,603442,2010,,2020-05-01T03:57:57.217
2019,840931,Prefeitura de Cordeirópolis,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,25000,2019,,2020-05-01T03:57:57.217
2019,53829,"City of Kingston, ON",Kingston,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2",,,,,,,1149000,,,,,,,,124000,2016,,2020-05-01T03:57:57.217
2019,831620,Yaoundé 3,Yaoundé 3,Cameroon,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,In progress,2018-07-01 - 2019-06-30,,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,,,,,,,,,,,,,,,,476016,2018,POINT (11.31 3.52),2020-05-01T03:57:57.217
2019,36286,Comune di Ferrara,Ferrara,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,132009,2017,POINT (11.619 44.8357),2020-05-01T03:57:57.217
2019,840313,Municipalidad Cerro Navia,,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,,,,,,,,,,,,,,,,,,,,132622,2017,,2020-05-01T03:57:57.217
2019,50386,Prefeitura de Cuiabá,Cuiabá,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,580489,2015,POINT (-52.2663 -15.882),2020-05-01T03:57:57.217
2019,36469,Comune dell'Aquila,L'Aquila,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,69439,2018,POINT (13.3995 42.3505),2020-05-01T03:57:57.217
2019,840925,Prefeitura de Indiaroba,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,17957,2019,,2020-05-01T03:57:57.217
2019,31446,Taipei City Government,Taipei,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Taipei city have been using GPC methodology to make City GHG inventory since 2014.,,"CH4, CO2, N20",,,,,,,,,,,,Increased,Increased energy/electricity consumption,,2668572,2018,POINT (121.564 25.0375),2020-05-01T03:57:57.217
2019,840490,City of La Carlota,,Philippines,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,,,,,,,,,,,,,,,,,,,,64469,2015,,2020-05-01T03:57:57.217
2019,58531,"City of Somerville, MA",Somerville,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Please see Methods Memorandum attachment for full methodology,Yes,"CH4, CO2, N20",,467600,,124237,,26537,,,,,,Decreased,Change in weather conditions,,81562,2018,POINT (-71.0826 42.3934),2020-05-01T03:57:57.217
2019,35870,City of Miami,Miami,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,470914,2018,POINT (-80.1918 25.7617),2020-05-01T03:57:57.217
2019,54699,Prefeitura Municipal de Barueri,Barueri,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,271306,2018,,2020-05-01T03:57:57.217
2019,60284,Prefeitura de Angra dos Reis,Angra dos Reis,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,169511,2010,POINT (-44.2442 -22.9983),2020-05-01T03:57:57.217
2019,54030,City of Little Rock,Little Rock,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,198600,2017,POINT (-92.2896 34.7465),2020-05-01T03:57:57.217
2019,839964,Ameghino,Ameghino,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,,,,,,,,,,,Do not know,Lack of documentation,,8869,21,,2020-05-01T03:57:57.217
2019,53860,"City of Wilmington, NC",Wilmington,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,119045,2017,,2020-05-01T03:57:57.217
2019,840328,Municipalidad San Pedro Carchá,,Guatemala,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,,,,,,,,,,,,,,,,,,,,272300,2019,,2020-05-01T03:57:57.217
2019,840918,Prefeitura de Pilões,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,3838,2019,,2020-05-01T03:57:57.217
2019,840936,Prefeitura de Guanhães,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,34319,2019,,2020-05-01T03:57:57.217
2019,43917,Sofia Municipality,Sofia,Bulgaria,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The inventory covers the following sectors: residential, municipal and tertiary buildings, equipment and facilities; manufacturing industries and construction; agriculture and forestry; fugitive emissionsfrom natural gas systems; road, railroad and aviation transport, waste management and waste water treatment. For each of the sectors identified in the methodology, the available data in the municipality of Sofia has been collected. Additional information from a large number of private and public organizations has also been obtained. The inventory covers all of the 24 districts of Sofia municipality.",No,"CH4, CO2, N20",,,,,,,2785108,,,5124843,,Decreased,,,1479902,2019,POINT (23.3219 42.6977),2020-05-01T03:57:57.217
2019,74673,İzmir Metropolitan Municipality,,Turkey,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,21869346,,,,,,,,,,,,,4320519,2018,,2020-05-01T03:57:57.217
2019,58871,"City of Salem, MA",Salem,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,43146,2017,POINT (-70.8967 42.5195),2020-05-01T03:57:57.217
2019,839980,Municipalidad de Avellaneda,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),La metodología utilizada es la sugerida por la Red Argentina de Municipios Contra el Cambio Climático de la cual la ciudad de Avellaneda forma parte.,Yes,"CH4, CO2, N20",521.96,1531934.8,,1446.5,,55751.8,,,,,,Do not know,Lack of documentation,,30446,2019,,2020-05-01T03:57:57.217
2019,60387,Alcaldíade Sincelejo,Sincelejo,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,275207,2015,POINT (-75.3906 9.30457),2020-05-01T03:57:57.217
2019,58796,Odder Kommune,Odder,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,22624,2019,POINT (10.15 55.9757),2020-05-01T03:57:57.217
2019,54579,Sekhukhune District Municipality,Sekhukhune District Municipality,South Africa,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,-,,,,,,,,,,,,,,,,,,,,1076840,2011,POINT (29.974 -24.8335),2020-05-01T03:57:57.217
2019,52897,City of Aspen,Aspen,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The inventory is also compliant with the guidelines that are laid out in the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI).,No,"CH4, CO2, N20",,,,,,,186961,82643,35715,305319,,Decreased,Other: Electric utility generation mix changes toward renewable energy.,,9003,2017,POINT (-106.837 39.195),2020-05-01T03:57:57.217
2019,36410,City of Memphis,Memphis,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",3633345,10895757,,6296158,,,,,,,,Increased,Change in accounting methodology,,650618,2018,POINT (-90.049 35.1495),2020-05-01T03:57:57.217
2019,54656,Prefeitura de Vinhedo,Vinhedo,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Other,"Para atender a essa necessidade, a iniciativa do GHG Protocol do World Resources Institute estabeleceu parceria internacional com a rede C40 Cities Climate Leadership Group e com o ICLEI — Governos Locais pela Sustentabilidade, que têm atuado fortemente em suas redes de cidades e governos locais para promover a integração da sustentabilidade em suas práticas e operações. O resultado dessa parceria é a ferramenta Global Protocol for Community-Scale GHG Emissions – GPC.Esta metodologia tem sido indicada como ideal em diversos fóruns nacionais e internacionais, pois trata-se de uma iniciativa pioneira que ambiciona a harmonização de várias metodologias de inventários, porém com um espectro específico para municípios, criando, assim, bases comparativas para a apresentação de resultados.",,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,33771.55,6469.04,,,This is our first year of calculation,,,77308,2019,POINT (-46.9838 -23.0307),2020-05-01T03:57:57.217
2019,73787,Tapalqué,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,446872.6,,41691,,676.92,,,,,,Do not know,Lack of documentation,,9178,21,,2020-05-01T03:57:57.217
2019,50568,City of Saskatoon,Saskatoon,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Basic+ guidelines followed,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,2133712,1232849,347331,,3713892,Decreased,Change in weather conditions,,272200,2019,POINT (-106.67 52.1332),2020-05-01T03:57:57.217
2019,35860,City of Dallas,Dallas,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Clear Path from ICLEI was the primary tool used to develop the inventory.  This is consistent with the GPC.,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,Decreased,Other: Decreased emissions from electricity generation.  Also lower emissions from transportation,,1345047,2018,POINT (-96.8004 32.7801),2020-05-01T03:57:57.217
2019,58511,"City of Richmond, CA","Richmond, CA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2012-01-01 - 2012-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),no comment,,"CH4, CO2, N20",,,,,,,,,,,,,,,110146,2018,POINT (-122.348 37.9358),2020-05-01T03:57:57.217
2019,54518,City of Helsingborg,Helsingborg,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Regional or country specific methodology,"Sweden report national emissions of greenhouse gases to UNFCCC and CLRTAP every year according to established rules. These emissions are taken down at municipal level, mainly by the use of a “top down” concept. The allocation of emissions to municipal level is carried out by a national network, SMED (www.smed.se). Short summary of the methodology: 1. The area within a municipality where a certain emission happens is mapped (for example pasture). 2. Statistics for activities related to the emissions are developed (for example the number of grazing animals). 3. Information in 1 and 2 are combined, and “multiplication” with  total emission at national level give the emission raster.",,"CH4, CO2, HFCs, N20, PFCs, SF6",73763,542765,13780,,,,,,,,,Decreased,Technological change,,145415,2018,,2020-05-01T03:57:57.217
2019,63562,"City of South Bend, IN",South Bend,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,3723299.07,,393977,,81378.88,,,,,,This is our first year of calculation,Other: First year of calculation,,102245,2017,POINT (41.6754 -86.2532),2020-05-01T03:57:57.217
2019,60114,City of Gdynia,Gdynia,Poland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,,,,,,,,,,,,,,,,,,,,,,246309,2018,POINT (18.5305 54.5189),2020-05-01T03:57:57.217
2019,73732,Monte Buey,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,42140.43,0,6327.84,0,970.59,,,,,,This is our first year of calculation,Other,,6285,2010,,2020-05-01T03:57:57.217
2019,59124,"City of Natchez, MS",Natchez,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,15500,2017,POINT (-91.4032 31.5604),2020-05-01T03:57:57.217
2019,46470,Ayuntamiento de Vitoria-Gasteiz,Vitoria-Gasteiz,Spain,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Larger – covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,527184,,204695,,1664,,,,,,Decreased,Policy change,,251604,2018,POINT (-2.67 42.84),2020-05-01T03:57:57.217
2019,54706,Prefeitura Municipal de Boa Vista,Boa Vista,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,576568,2018,POINT (-60.6779 2.83067),2020-05-01T03:57:57.217
2019,73706,City of Alameda,Alameda,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,,,,"CH4, CO2, N20",,,,,,,,,,,,Increased,Increased energy/electricity consumption,,75961,2017,POINT (122.163 37.4522),2020-05-01T03:57:57.217
2019,60599,"Town of Bridgewater, NS",Bridgewater,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,8532,2016,POINT (-64.5188 44.3786),2020-05-01T03:57:57.217
2019,35858,City of Cape Town,Cape Town,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,9499498.21,11662205.03,1232606.95,21145125.41,22377732.36,Decreased,Other: Decline in electricity-related emissions and total liquid fuels sales.,,4223565,2017,POINT (18.4239 -33.9253),2020-05-01T03:57:57.217
2019,73686,Los Molles,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,2926.91,,911.22,,758.23,,,,,,,,,732,2010,,2020-05-01T03:57:57.217
2019,74309,Nakhon Sawan,,Thailand,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,CO2,,176321.3,,179300.64,,17043.52,,,,,,This is our first year of calculation,,,83045,2018,,2020-05-01T03:57:57.217
2019,60621,Lilongwe City Council,Lilongwe,Malawi,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,989318,2019,POINT (33.7741 -13.9626),2020-05-01T03:57:57.217
2019,839666,Municipio de Escuintla,,Guatemala,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2019-01-01 - 2020-01-01,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Es el protocolo que se adapta a la elaboración del inventario de ciudades GEI de Guatemala,No,"CH4, CO2, N20",,,,,,,116127,834,164628,281588,0,Do not know,,,170543,2019,,2020-05-01T03:57:57.217
2019,73413,Commune de Cocody,Cocody,Côte d'Ivoire,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2018-01-01 - 2018-12-31,Larger – covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Le diagnostic énergie réalisé par COPADEN s’est basé sur un inventaire territorial, celui de la commune de Cocody et des villes environnantes du District d’ABIDJAN ; consistant à calculer toutes les émissions de GES directement émises sur le territoire de la commune de Cocody et des activités intercommunales par l’ensemble des acteurs en 2017 et 2018, réparties par secteurs d’activités. L’étude porte sur le territoire de la Commune de Cocody voir  CARTE. Toutefois, du fait de l’interaction de ce territoire avec les autres communes du District d’Abidjan ainsi qu’avec le reste de la Côte d’Ivoire (flux vers Yamoussoukro, Bouaké et vers Korhogo…), l’étude devra porter, quand de nécessaire, sur l’ensemble de la Côte d’Ivoire.Avec  l’approche  inventaire  territorial  retenue,  les  émissions  prises  en  compte  sont  les émissions directes (Scope 1) et les émissions indirectes associées à l’énergie (Scope2) pour tous les secteurs étudiés.Dans le diagnostic, six secteurs ont été définis et analysés : (i) le secteur résidentiel ; (ii) le secteur industriel (usines et unités de transformation) ; (iii) le secteur tertiaire ; (iv) le secteur transport ; (v) le secteur déchets ; et (vi) le secteur agriculture et forêt.Les différents postes d’émissions de gaz à effet de serre ont pu être identifiés et classés en fonction de leur importance. Les activités liées à la production et à la consommation d’énergie constituent de loin les principaux postes d’émissions de gaz à effet de serre de la commune.",,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,Decreased,Emissions reduction actions not implemented,,800000,2018,POINT (-3.9674 5.3602),2020-05-01T03:57:57.217
2019,73690,Villa General Belgrano,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,48040.76,,8775.93,,6084.39,,,,,,Do not know,Other: Primer inventario realizado,,8257,2010,,2020-05-01T03:57:57.217
2019,54641,Prefeitura de Limeira,Limeira,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,276022,2010,POINT (-47.3974 -22.5665),2020-05-01T03:57:57.217
2019,43937,Wellington City Council,Wellington,New Zealand,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-07-01 - 2015-06-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),NA,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,621179,0,0,773061,1084979,Decreased,Technological change,,213847,2019,POINT (174.776 -41.2865),2020-05-01T03:57:57.217
2019,20113,City of Vancouver,Vancouver,Canada,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The City has compiled a GPC-compliant inventory for 2018 as a Global Covenant of Mayors signatory.,No,"CH4, CO2, N20",,,,,,,2399259,58217,98392,2551251,2551251,Decreased,Change in weather conditions,,642686,2018,POINT (-123.114 49.2612),2020-05-01T03:57:57.217
2019,49360,City of Tshwane,Pretoria - Tshwane,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-07-01 - 2015-06-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,9138309,119473513,340698,21426358,,Do not know,Change in methodology,,3306198,2017,POINT (28.1881 -25.7461),2020-05-01T03:57:57.217
