Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC),Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2020,54253,Wollongong City Council,Wollongong,Australia,Southeast Asia and Oceania,public,Yes,2016-07-01 - 2017-06-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),This information has been submitted by Ironbark Sustainability to GCoM. I will not provide it again here,Yes,"CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,"Other, please specify: Joined GCoM",684,216071,2018,POINT (150.893 -34.4278),2021-07-16T02:03:37.903
2020,54289,Wuhan Municipal People's Government,Wuhan,China,East Asia,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,,"CH4, CO2, N20",,,,,,,,,,,,Decreased,Technological change,8569.15,11081000,2018,POINT (114.325 30.6435),2021-07-16T02:03:37.903
2020,36274,Comune di Bologna,Bologna,Italy,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: SECAP guideline",,,CO2,,,,,,,,,,,,Decreased,,140,390636,2018,POINT (11.3387 44.4938),2021-07-16T02:03:37.903
2020,832097,Município de Lagos,,Portugal,Europe,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,212.99,30374,2019,,2021-07-16T02:03:37.903
2020,54060,City of Greater Sudbury / Grand Sudbury,Sudbury,Canada,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,CO2,,,,,,,,,,,,,,3627,161531,2016,POINT (-80.9645 46.5268),2021-07-16T02:03:37.903
2020,35886,Comune di Torino,Torino,Italy,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,"The municipal administration adhering to the Covenant of Mayors for Climate and Energy will have a single plan to optimize and make effective mitigation, adaptation and monitoring policies.",,CO2,,2299973,,1756798,,0,,,,,,Decreased,"Other, please specify: Improvement of energy efficiency, population reduction, economic crisis.",130.2,872316,2019,POINT (7.668 45.1006),2021-07-16T02:03:37.903
2020,74418,"Town of Breckenridge, CO",Breckenridge,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,"CH4, CO2",,,,,,,,,,,,This is our first year of calculation,Lack of resource / funding overcome,14.2,5020,2018,POINT (106.038 39.4817),2021-07-16T02:03:37.903
2020,845307,Zarcero,,Costa Rica,Latin America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,"Programa País Carbono Neutralidad Cantonal, que tiene su propia metodología para la medición, reporte y verificación de las emisiones, reducciones, remociones y compensaciones de GEI a nivel cantonal para Costa Rica de la Dirección de Cambio Climático del Ministerio de Ambiente y Enegía basada en el GPC.",,"CH4, CO2, N20",,95995.47,,0.94,,3601.5,,,,,,This is our first year of calculation,Lack of resource / funding overcome,155.2,12205,2019,,2021-07-16T02:03:37.903
2020,848483,Oliva (Argentina),,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,28016.06,,7133.55,,1291.2,,,,,,This is our first year of calculation,"Other, please specify",14,15031,2018,,2021-07-16T02:03:37.903
2020,3429,City of Stockholm,Stockholm,Sweden,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Latest available data is from 2018 .The total emissions for the community include:Scope 1: in-boundary fuel combustion for heating.Scope 2:  of the district heating and house-hold electricity consumption within the community boundary. Scope 2: emissions for electricity use in the transportation system (metro, commuter, train) within the communityScope 1: emissions for the fuel consumption from road traffic, non-road vehicles and shipping, & scope 1 emissions from aviation (within the landing & take-off cycle, i.e. up to 915m). This means that scope 3 emissions from transport of inhabitants outside the community boundary is not included (but transport of non-inhabitants within the community boundary is). Scope 3 emission include distribution losses from district heating and electricity. Other scope 3 emissions (in GPC document) include emissions from distribution and refining of fuels outside the city boundary. Emission from household waste incineration is embedded in the district heating emissions, since household waste is a source of energy used in district heating. Energy use for waste-water handling is included in the total community energy use.Emission factors are collected from a report published by Swedish Environmental Research Institute Ltd. (IVL) in 2001 and Thermal Engineering Research Institute (Värmeforsk) in 2011. The reports are widely used and acknowledged. The global warming potentials are GWP100 from IPCC 2013, as recommended by the Swedish Environmental Protection Agency (SEPA).Energy statistics are collected from different sources: district heating & gas statistics are collected from the companies; electricity statistics is compiled and collected from Statistics Sweden; emissions from road transport is modeled using an extensive emission model combined with a road model over Stockholm (includes a variety vehicles, speeds, road types etc) and non-road emissions are taken from Statistics Sweden; marine emissions within the community boundary are based on emissions & energy use presented in environmental reports from shipping companies and Ports of Stockholm.",Yes,"CH4, CO2, N20",849839,814553,,705285,,36771,,,,,,Decreased,Technological change,18.7,981105,2020,POINT (18.0686 59.3293),2021-07-16T02:03:37.903
2020,50792,Ville de Monaco,Monaco,Monaco,Europe,public,Yes,2018-01-01 - 2018-12-31,Sovereign city-state,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,L'application de cette méthode est imposée par la CCNUCC.,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",400,86506,,,,,,,,,,Increased,"Other, please specify: augmentation importante de la consommation de gazole non routier et augmentation légère des émissions stationnaires",2.02,38100,2019,POINT (7.42081 43.7374),2021-07-16T02:03:37.903
2020,60414,Municipalidad Venado Tuerto,,Argentina,Latin America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,,,,,,,,,,,Increased,"Other, please specify",47.05,81522,2016,,2021-07-16T02:03:37.903
2020,54290,Qingdao Municipal Government,Qingdao,China,East Asia,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,"CH4, CO2, N20",,,,,,,,,,,,Increased,Increased energy/electricity consumption,11282,9499800,2019,POINT (120.356 36.1105),2021-07-16T02:03:37.903
2020,834406,Municipality of San Pedro Tlaquepaque,,Mexico,Latin America,public,Yes,2016-01-01 - 2017-01-01,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,,,270,664193,2015,,2021-07-16T02:03:37.903
2020,31185,City of Warsaw,Warsaw,Poland,Europe,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify",Covenant of Mayors,,CO2,,8843905,4302150,,,,,,,,,Increased,Increased energy/electricity consumption,517,1769529,2018,POINT (21.0122 52.2297),2021-07-16T02:03:37.903
2020,53860,"City of Wilmington, NC",Wilmington,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,137,119045,2017,,2021-07-16T02:03:37.903
2020,60349,Prefeitura de São Leopoldo,São Leopoldo,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,102738,236835,2019,POINT (-51.1493 -29.761),2021-07-16T02:03:37.903
2020,60320,Prefeitura de Presidente Prudente,Presidente Prudente,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,560637,226,2017,POINT (-51.3856 -22.1276),2021-07-16T02:03:37.903
2020,63862,"City of Ashland, OR",,United States of America,North America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, HFCs, N20",,,,,,,70375,68331,234288,,,,,17.1,21117,2017,,2021-07-16T02:03:37.903
2020,840131,Tiruchirappalli City Municipal Corporation,Tiruchirappalli,India,South and West Asia,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,167.23,1045436,2020,POINT (78.68 10.8),2021-07-16T02:03:37.903
2020,58626,"City of Racine, WI",,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,40.09316,78860,2010,,2021-07-16T02:03:37.903
2020,50571,City of Victoria,Victoria,Canada,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,263675,,8067,,174966,,,,,,Decreased,Change in data collection methods,19.47,94000,2019,POINT (-123.366 48.4284),2021-07-16T02:03:37.903
2020,73652,Caseros,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climático, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas",Yes,"CH4, CO2, N20",,17065.45,,1946.34,,352.18,,,,,,Decreased,Change in available data,78,2339,2010,,2021-07-16T02:03:37.903
2020,36039,Accra Metropolitan Assembly,Accra,Ghana,Africa,public,Yes,2015-01-01 - 2015-12-31,Metropolitan area,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,,,,,,,,,,,Stayed the same,No new inventory to report,52.896,2514005,2020,POINT (-0.16819 5.56543),2021-07-16T02:03:37.903
2020,50380,Municipio de Bucaramanga,Bucaramanga,Colombia,Latin America,public,In progress,-,City / Municipality,,,,,,,,,,,,,,,,,,,165,528269,2016,POINT (-73.1227 7.11034),2021-07-16T02:03:37.903
2020,73669,San Luis Obispo,,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"The City prepared a 2016 comprehensive community-wide and local government GHG emissions inventory update compliant with all relevant protocols and guidance documents including the U.S. CommunityProtocol, Local Government Operations Protocol (LGOP), the Global Protocol for CommunityScale GHG Emissions (GPC), and the Intergovernmental Panel on Climate Change (IPCC) Guidelines for National GHG Inventories.",,"CH4, CO2, N20",,255610,,83680,,,,,,,,Decreased,Technological change,33.5,47117,2016,,2021-07-16T02:03:37.903
2020,36159,City of Lisbon,Lisbon,Portugal,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,1342524,,930592,86374,91170,,,,,,Decreased,Technological change,85.9,547733,2011,POINT (-9.13933 38.7223),2021-07-16T02:03:37.903
2020,31168,City District Government Karachi,Karachi,Pakistan,South and West Asia,public,In progress,-,Independent province: Local government area within a city/metropolitian area,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,CO2,,,,,,,,,,,,,,,25000000,2014,POINT (67.1281 24.9108),2021-07-16T02:03:37.903
2020,840943,Prefeitura de Boa Ventura,,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,132,5751,2010,,2021-07-16T02:03:37.903
2020,31155,City of Buenos Aires,Buenos Aires,Argentina,Latin America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"En el año 2015, el Gobierno de la Ciudad Autónoma de Buenos Aires adhirió al “Acuerdo de Alcaldes” (actualmente Global Covenant of Mayors for Climate & Energy.). Con ello, asumió distintos compromisos, entre ellos el de adecuar sus Inventarios de Gases de Efecto Invernadero al nivel Básico del Protocolo Global para Inventarios de Gases de Efecto Invernadero a Escala de Comunidad (“Global Protocol for Community-Scale Greenhouse Gas Emission Inventories” - GPC ). El Plan de Acción frente al Cambio Climático 2020 (PACC) publicado por el Gobierno de la Ciudad de Buenos Aires en el año 2015, incluye los resultados de los inventarios bajo metodología GPC para el periodo 2000-2014. En los años siguientes se continuó trabajando en la actualización de los inventarios, elaborándose  a la fecha los inventarios para los años 2015, 2016 y 2017 para la Ciudad de Buenos Aires.",Yes,"CH4, CO2, N20",7965260.82,6489679.65,,3690409.81,,2358287.22,,,,,,Decreased,Improved data accuracy,202,3063728,2017,POINT (-58.3816 -34.6037),2021-07-16T02:03:37.903
2020,73879,Roskilde,Roskilde,Denmark,Europe,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,CO2,,,,,,,422955,,,,,Decreased,Technological change,212,87542,2019,POINT (12.0878 55.6419),2021-07-16T02:03:37.903
2020,831230,Municipality of La Marsa,La Marsa,Tunisia,Africa,public,In progress,-,City / Municipality,,,,,,,,,,,,,,,,,,,31,98500,2019,POINT (10.3218 36.8725),2021-07-16T02:03:37.903
2020,848409,Lince,,Peru,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,3.03,55000,2020,,2021-07-16T02:03:37.903
2020,73754,Panaji,,India,South and West Asia,public,Yes,-,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,CO2,,,,,,,,,,,,Do not know,"Other, please specify",8.12,40019,2011,,2021-07-16T02:03:37.903
2020,42123,City of Goiânia,Goiânia,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,739,1516113,2019,POINT (-49.2648 -16.6869),2021-07-16T02:03:37.903
2020,840944,Prefeitura de Carnaúba dos Dantas,,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,246,7429,2010,,2021-07-16T02:03:37.903
2020,73765,Tuguegarao City,,Philippines,Southeast Asia and Oceania,public,Yes,2017-01-01 - 2018-01-01,City / Municipality,Same – covers entire city and nothing else,City specific methodology,Conduct of Primary Survey by the city,,"CH4, CO2",,,,,,,,,,,,,,113.95,165700,2019,,2021-07-16T02:03:37.903
2020,59180,Middelfart Kommune,Middelfart,Denmark,Europe,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Regional or country specific methodology,,,"CH4, CO2",,,,,,,,,,,,Decreased,Technological change,299.5,38553,2019,POINT (9.87264 55.471),2021-07-16T02:03:37.903
2020,848408,Municipio de Cajamarca,,Colombia,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,520,17309,2018,,2021-07-16T02:03:37.903
2020,50385,Prefeitura de Campo Grande,Campo Grande,Brazil,Latin America,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,8092,786797,2010,POINT (-37.7142 -7.10801),2021-07-16T02:03:37.903
2020,50544,"City of Aurora, IL",Aurora,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,119.00995,200965,2017,POINT (41.7606 88.3201),2021-07-16T02:03:37.903
2020,58489,Hoeje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Europe,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: KlimaKommune","Based on The Danish society for Nature Conservations KlimaKommune protocol, which is national standard for municipalities in Denmark.",,"CH4, CO2, N20",0,170031,65189,96334,,,,,,,,Decreased,"Other, please specify: Emission factors for Electricity and District Heating are low.",78,50686,2019,POINT (12.2898 55.6563),2021-07-16T02:03:37.903
2020,1184,City of Austin,Austin,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),We used GPC Basic reporting level and add IPCC emissions from industrial sources,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,9651484,5116506,,11998240,13147030,Increased,Increased energy/electricity consumption,845.7,964254,2019,POINT (-97.7431 30.2672),2021-07-16T02:03:37.903
2020,60394,Gobierno Autónomo Municipal de Tarija,Tarija,Bolivia (Plurinational State of),Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,104.56,261188,2019,POINT (-63.4884 -21.2666),2021-07-16T02:03:37.903
2020,1850,Birmingham City Council,Birmingham,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Through SCATTER,Yes,"CH4, CO2, N20",2098.74,3134377.46,,1436196.1,385.56,1274317.68,,,,,,Decreased,Technological change,267.8,1141400,2018,,2021-07-16T02:03:37.903
2020,847244,Chañaritos,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climático, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas",Yes,"CH4, CO2, N20",,14684.13,,455.06,,82.34,,,,,,This is our first year of calculation,"Other, please specify",158,219,2010,,2021-07-16T02:03:37.903
2020,74575,Dane County,,United States of America,North America,public,Yes,2017-01-01 - 2018-01-01,Province / County,Larger – covers the whole city and adjoining areas,"Other, please specify: FACETS model facilitated by Sustainable Energy Economics","A team from the University of Minnesota, using primarily ICLEI protocols, conducted an inventory of Dane County emissions based on 2013 data.  That inventory is attached.  In the context of developing a scientifically rigorous climate action plan we updated all of the major emission sources to 2017 data by directly surveying the various sources of emissions (e.g. every utility in the County reported their 2017 electricity and gas sales, in our county, to us) we conducted an inventory required to populate a US MARKAL/TIMES model (FACETS) that was used to model a baseline and then 110 emission reduction recommendations.",,"CH4, CO2, N20",,,,,,,4858052,2145888,447060,,,Decreased,Financial conditions,3206,542400,2018,,2021-07-16T02:03:37.903
2020,63999,"City of Miami Beach, FL",Miami Beach,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"We used ICLEI ClearPath and the only gases measured are CO2, CH4, and N2O.",Yes,"CH4, CO2, N20",,295803.36,,710677.92,,190126.53,,,,,,Stayed the same,Emissions have not changed,18.13,91826,2018,POINT (-80.13 25.7906),2021-07-16T02:03:37.903
