Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2021,834301,Municipality of San Antonio de Areco,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.","CH4, CO2, N20",,158741.11,,17796.73,,3220.24,,,,,,Decreased,"Other, please specify: No hay datos",857.59,24668,2018,,10/04/2021 09:23:47 AM
2021,834256,Municipality of La Antigua Guatemala,,Guatemala,Latin America,public,In progress,2021-09-01 - 2022-01-01,City / Municipality,,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,,,78,46157,0,,10/04/2021 09:23:47 AM
2021,58626,"City of Racine, WI",,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,40.09316,78860,2010,,10/04/2021 09:23:47 AM
2021,58865,Jammerbugt Kommune,Jammerbugt,Denmark,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,153792,,123977,,29922,,,,,,Do not know,Change in staff,863,38638,2018,POINT (9.54153 57.1453),10/04/2021 09:23:47 AM
2021,49345,"City of Birmingham, AL","Birmingham, AL",United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,383.86,209403,2019,,10/04/2021 09:23:47 AM
2021,859127,Kikugawa City,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,845304,Santa Ana (Costa Rica),,Costa Rica,Latin America,public,,,City / Municipality,,,,,,,,,,,,,,,,,,61.42,60453,2020,,10/04/2021 09:23:47 AM
2021,60369,Alcaldía Municipal de Armenia,,Colombia,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,122.34,304764,2019,,10/04/2021 09:23:47 AM
2021,11315,City of Manchester,,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2018-01-01 - 2018-12-31,Independent city,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Manchester uses local authority emissions data, part of the UK Greenhouse Gas Inventory produced by the Department for Business, Energy & Industrial Strategy (BEIS). The UK Greenhouse Gas Inventory compilers follow detailed guidance produced by the Intergovernmental Panel on Climate Change (IPCC). The function of the IPCC is to publish reports and guidelines relevant to the implementation of the UN Framework Convention on Climate Change. As part of this function, the IPCC produces the Guidelines for National Greenhouse Gas Reporting and these are then adopted by the UNFCCC. The latest data release on regional and local CO2 emissions covers the period of 2005 to 2019. There have been some changes to the methodology for producing local CO2 emissions sets. These have primarily affected land use based emissions but have also had implications for the energy CO2 emissions attributed to the city. The variation is negligible for the 2009 to 2011 period but there is an upward revision of energy CO2 emissions for 2011 to 2018 in the Manchester LA.  The 2021 data release is used in the rest of the report.",CO2,,2019779.38,0,,,,,,,,,Decreased,"Other, please specify: Move away from coal to produce electricity and COVID-19",115.64,552858,2020,,10/04/2021 09:23:47 AM
2021,54349,Balikpapan City Government,,Indonesia,Southeast Asia and Oceania,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,2700426.72,,,,,,,,,,Decreased,Improved data accuracy,503.33,688318,2020,POINT (116.831 -1.26539),10/04/2021 09:23:47 AM
2021,74481,"Town of Acton, MA",,United States of America,North America,public,Yes,2017-01-01 - 2017-12-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC), U.S. Community Protocol (Community Protocol), and Local Government Operations Protocol (LGOP) were all used to conduct this survey.","CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,,51.46,23662,2019,,10/04/2021 09:23:47 AM
2021,845308,Puerto Cortés,,Honduras,Latin America,public,In progress,-,City / Municipality,Larger – covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,,,,,,,,,,,,,,390.6,122428,2013,,10/04/2021 09:23:47 AM
2021,840521,City of Denizli,,Turkey,Europe,public,Yes,2016-01-01 - 2016-12-31,Local government area within a greater city / metropolitan area,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The Denizli Greenhouse Gas Inventory has been prepared in accordance with Global Protocol for Local GHG Emissions (GPC) which was prepared in 2014 by C40 Cities Climate Leadership Group (C40), the International Council of Local Environmental Initiatives (ICLEI) and the World Resources Institute (WRI) and which is widely used by local governments.The GPC was prepared on the basis of the IPCC National Greenhouse Gas Inventory Guidelines developed by the Intergovernmental Panel on Climate Change (IPCC) in 2006 and updated periodically. In this way, the results described in the following chapters are intended to be comparable and acceptable on a global scale.The inventory prepared at the urban scale includes all the emission sources within the realm of authority of Denizli Metropolitan Municipality. The authority of Denizli Metropolitan Municipality covers the provincial boundaries of the province .The inventory content is based on the classification of emission sources set by GPC. When preparing inventory in the framework of GPC, the scope of the inventory was determined depending on the detail, accuracy and reliability of the available data. GPC evaluates greenhouse gas emissions in 3 scopes; Scope 1 - Direct Emissions, Scope 2 - Indirect Emissions and Scope 3 - Indirect (Consumption Based) Emissions. During the preparation of the inventory, all emission sources within the realm of authority of the municipality were scanned and the maximum amount of data was tried to be reached. The emissions under Scope 3 were not included in the inventory due to the fact that it is ver y difficult to reach related data . According to the results of the GPC approach, the total greenhouse gas emissions of Denizli province for the year 2016 were estimated to be 7.5 million tons of CO2e. This amount refers to 7.5 tons of CO2e per capita, which is proportional to the population of Denizli in the same year (1.005.687) and this number is higher than Turkey’s 2016 average calculated as 7.5 tons of CO2e per capita. Total emissions of Denizli in Turkey’s total emissions in 2016 constitute 1.5%.","CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,,,,,,,,12134,1005687,2016,,10/04/2021 09:23:47 AM
2021,834167,Kochi Municipal Corporation,KOCHI,India,South and West Asia,public,Yes,2018-04-01 - 2019-03-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,1033969,,443742,,20104,,,,,,This is our first year of calculation,,107.13,601574,2011,POINT (76.2673 9.93123),10/04/2021 09:23:47 AM
2021,54336,City of Hamamatsu,,Japan,East Asia,public,Yes,2017-04-01 - 2018-03-31,Special city,Same – covers entire city and nothing else,Regional or country specific methodology,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,31155,City of Buenos Aires,Buenos Aires,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"En el año 2015, el Gobierno de la Ciudad Autónoma de Buenos Aires adhirió al “Acuerdo de Alcaldes” (actual Global Covenant of Mayors for Climate & Energy.). Con ello, asumió distintos compromisos, entre ellos el de adecuar sus Inventarios de Gases de Efecto Invernadero al nivel Básico del Protocolo Global para Inventarios de Gases de Efecto Invernadero a Escala de Comunidad (“Global Protocol for Community-Scale Greenhouse Gas Emission Inventories” - GPC ). A partir de ese año, Buenos Aires elabora anualmente su Inventario de GEI bajo metodología GPC. El Plan de Acción Climática 2050 incluye los resultados del inventario de GEI del año 2017. Actualmente, la ciudad cuenta con inventarios de GEI para el periodo 2000-2018.","CH4, CO2, N20",6995569.07,6357309.93,,3491206.85,,2544403.07,,,,,,Decreased,"Other, please specify: Disminución de consumo de energía",202,3068043,2018,POINT (-58.3816 -34.6037),10/04/2021 09:23:47 AM
2021,55180,City of Shizuoka,Shizuoka-shi,Japan,East Asia,public,Yes,2017-04-01 - 2018-03-31,Special city,Same – covers entire city and nothing else,Regional or country specific methodology,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,845307,Zarcero,,Costa Rica,Latin America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,"Programa País Carbono Neutralidad Cantonal, que tiene su propia metodología para la medición, reporte y verificación de las emisiones, reducciones, remociones y compensaciones de GEI a nivel cantonal para Costa Rica de la Dirección de Cambio Climático del Ministerio de Ambiente y Enegía basada en el GPC.","CH4, CO2, N20",,95995.47,,0.94,,3601.5,,,,,,This is our first year of calculation,Lack of resource / funding overcome,155.2,12205,2019,,10/04/2021 09:23:47 AM
2021,31186,Changwon City,Changwon,Republic of Korea,East Asia,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,Korea Environment Corporation Guidelines for calculating greenhouse gas emissions by local governmentsver 4,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,,,,,,Stayed the same,,747.67,1036738,2020,POINT (126.949 35.1542),10/04/2021 09:23:47 AM
2021,55181,City of Matsuyama,Matsuyama-shi,Japan,East Asia,public,Yes,2017-04-01 - 2018-03-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,Increased,Increased energy/electricity consumption,429.37,508519,2021,,10/04/2021 09:23:47 AM
2021,831812,Municipalidad de Puerto Barrios,Puerto Barrios,Guatemala,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,1292,120000,2021,POINT (15.7278 -88.5944),10/04/2021 09:23:47 AM
2021,859118,Hara Village,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,14874,"City of Portland, OR","Portland, OR",United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),None.,"CH4, CO2, N20",0,5228980.82,,2212449.32,,105912.69,,,,,,Increased,Population increase,1207,812855,2019,POINT (-122.682 45.52),10/04/2021 09:23:47 AM
2021,850404,Prefeitura de Guabiruba,,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,174,24382,2019,,10/04/2021 09:23:47 AM
2021,20113,"City of Vancouver, BC",Vancouver,Canada,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The City has compiled a GPC-compliant inventory as a Global Covenant of Mayors signatory.,"CH4, CO2, N20",5935,2281623,,60502,,90650,,,,,,Decreased,"Other, please specify: Activity reduction due to COVID-19",115,654000,2020,POINT (-123.114 49.2612),10/04/2021 09:23:47 AM
2021,859189,Minamikyushu City,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,859115,Chikuma City,,Japan,East Asia,public,Yes,2016-04-01 - 2017-03-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,"CH4, CO2, N20",,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,859165,Kan-onji City,,Japan,East Asia,public,Yes,2017-04-01 - 2018-03-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,CO2,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,54274,Rotorua Lakes Council,Rotorua,New Zealand,Southeast Asia and Oceania,public,Yes,2018-07-01 - 2019-06-30,"Other, please specify: Local authority, City Council",Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, HFCs, N20, PFCs, SF6",,1668358,,46680,,18957,,,,,,Increased,Population increase,2615,77300,2020,,10/04/2021 09:23:47 AM
2021,859154,Hokuei Town,,Japan,East Asia,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,57,14736,2021,,10/04/2021 09:23:47 AM
2021,841269,Municipalidad de Montecarlo,,Argentina,Latin America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.","CH4, CO2, N20",,85199.36,,15514.37,,6241.96,,,,,,This is our first year of calculation,"Other, please specify: Todavía no se cuenta con una sucesión de inventarios que permitan observar tendencias. Se espera poder realizar en el corto plazo una actualización del inventario de emisiones a escala comunitaria con año base 2018.",958,25845,2016,,10/04/2021 09:23:47 AM
2021,54335,Government of the City of Yogyakarta,,Indonesia,Southeast Asia and Oceania,public,Yes,2020-02-05 - 2020-09-02,"Other, please specify: City",Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"There are 4 main components in the emissions inventory, namely: sources of emissions, emission activity data, emission factors and emission parameters / variables inventoried. For GHG inventories the emission variables will vary from source to source: carbondiokasida, methane and dinitrogen dioxide. Sources of emissions are the main activities or activities of the community that have the potential to contribute to emissions, especially in large quantities and are typical activities in a region.In general, the formula for calculating GHG emissions is as follows: E = AD x efE = Emission burden borne by the region for a certain period (tons / year)AD = Activity data from emission sources (adjust)ef = Emission factor (adjust)","CH4, CO2, N20",,,,,,,,,,,,Decreased,Behavioural change,32.8,373589,2020,,10/04/2021 09:23:47 AM
2021,13067,"City of New Orleans, LA",New Orleans,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,2187750,,1201674,,,,,,,,Stayed the same,Emissions have not changed,910,390144,2019,POINT (-90.0715 29.9511),10/04/2021 09:23:47 AM
2021,73295,"City of La Crosse, WI",La Crosse,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,CO2,,,,,,,,,,,,Increased,Emissions reduction actions not implemented,58.38,51277,2019,POINT (-91.2396 43.8014),10/04/2021 09:23:47 AM
2021,54337,Greater Amman Municipality,Amman,Jordan,Middle East,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",0,5144947,0,5073787,0,1724480,,,,,,Stayed the same,Emissions have not changed,800,3800000,2018,POINT (35.9284 31.9454),10/04/2021 09:23:47 AM
2021,60272,Prefeitura de Campina Grande,Campina Grande,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,593026,412000,2020,POINT (-35.8808 -7.2291),10/04/2021 09:23:47 AM
2021,859148,Ibaraki City,,Japan,East Asia,public,Yes,2017-04-01 - 2018-03-31,Special city,Same – covers entire city and nothing else,Regional or country specific methodology,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,31187,Seoul Metropolitan Government,Seoul,Republic of Korea,East Asia,public,Yes,2018-01-01 - 2018-12-31,Special city,Same – covers entire city and nothing else,"Other, please specify: Guidelines for Local Government GHG Inventories (Korea Ministry of Environment, 2017)","Seoul uses guidelines developed by Korea Ministry of Environment, based on the 2006 IPCC Guidelines","CH4, CO2, HFCs, N20, PFCs, SF6",283719,382492,,,,,,,,,,Increased,Increased energy/electricity consumption,605.23,9911088,2020,POINT (126.978 37.5665),10/04/2021 09:23:47 AM
2021,58564,Chiayi City Government,,"Taiwan, Greater China",East Asia,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The city's greenhouse gas inventory report is implemented in accordance with the United Nations IPCC inventory guidelines, and the seven types of greenhouse gases in the ""Environmental Protection Agency of the Executive Yuan's Greenhouse Gas Inventory and Registration Management Principles"" are implemented as the scope of the inventory.","CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,605111.66,625555.84,6261.19,,,Decreased,Behavioural change,60.0256,266005,2020,,10/04/2021 09:23:47 AM
2021,60185,City of Vantaa,Vantaa,Finland,Europe,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,The emission inventory of the city of Vantaa has been calculated by using a regionally developed methodology equivalent to GPC (and IPCC guidelines). The organization responsible for the calculations is the Helsinki Region Environmental Services Authority HSY.,"CH4, CO2, N20",,487000,,397000,,,,,,,,Decreased,Technological change,240,237231,2020,,10/04/2021 09:23:47 AM
2021,859063,Atsuma Town,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,54662,Prefeitura do Município de Maringá,Maringá,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,487.012,430157,2020,POINT (-51.9383 -23.4257),10/04/2021 09:23:47 AM
2021,50208,Adana Metropolitan Municipality,Adana,Turkey,Europe,public,Yes,-,City / Municipality,,,,,,,,,,,,,,,,,,14000,2200000,2020,POINT (35.334 36.995),10/04/2021 09:23:47 AM
2021,35903,Le Grand Casablanca,Casablanca,Morocco,Africa,public,In progress,- 2016-01-01,Metropolitan area,Larger – covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,"CH4, CO2, N20",,,,,,,,,,,,,,1117,3360000,2014,POINT (-7.56806 33.5206),10/04/2021 09:23:47 AM
2021,58627,"City of Alton, IL",Alton,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,43.9,26581,2015,POINT (-90.1843 38.8906),10/04/2021 09:23:47 AM
2021,55800,"City of Cambridge, MA","Cambridge, MA",United States of America,North America,public,Yes,2012-01-01 - 2012-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",194907,671622,,455838,,139870,,,,,,This is our first year of calculation,,16.65,116632,2019,POINT (-93.3273 45.601),10/04/2021 09:23:47 AM
2021,54633,Prefeitura de Lorena,Lorena,Brazil,Latin America,public,In progress,-,City / Municipality,,,,,,,,,,,,,,,,,,414.16,89125,2020,POINT (-45.1201 -22.7339),10/04/2021 09:23:47 AM
2021,31151,City of Basel-Stadt,Basel,Switzerland,Europe,public,Yes,2018-01-01 - 2018-12-31,Independent province: Local government area within a city/metropolitian area,Larger – covers the whole city and adjoining areas,"Other, please specify: Energy consumption scope 1 in the canton Basel-Stadt according energy sourcce and emissionsfaktor",https://www.statistik.bs.ch/analysen-berichte/raum-umwelt/energiestatistik.html,CO2,,,,,,,,,,,,Decreased,Technological change,37,201386,2021,POINT (7.5928 47.5619),10/04/2021 09:23:47 AM
2021,74365,Utsunomiya,,Japan,East Asia,public,Yes,2017-04-01 - 2018-03-31,Special city,Same – covers entire city and nothing else,Regional or country specific methodology,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,69995,Kemi,Kemi,Finland,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Smaller – covers only part of the city,"Other, please specify: European Union, Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan – Guidebook. Part II, Baseline Emission Inventory",,"CH4, CO2, N20",,,,,,,,,,,,Stayed the same,Emissions have not changed,95,20742,2020,POINT (24.5637 65.7364),10/04/2021 09:23:47 AM
2021,850301,Bellingen Shire,,Australia,Southeast Asia and Oceania,public,Not intending to undertake,,"Other, please specify: Shire",,,,,,,,,,,,,,,,,,1605,13141,2020,,10/04/2021 09:23:47 AM
2021,54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,12573.85,5987000,2019,POINT (121.567 38.9389),10/04/2021 09:23:47 AM
2021,74547,"City of Mosier, OR",,United States of America,North America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,2.5,450,2019,,10/04/2021 09:23:47 AM
2021,35894,"Ville de Montreal, QC",Montréal,Canada,North America,public,Yes,2017-01-01 - 2017-12-31,Metropolitan area,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,Stayed the same,Emissions have not changed,500,2069849,2020,POINT (-73.554 45.5087),10/04/2021 09:23:47 AM
