Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Southern Counties Oil Co Ltd,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Southern Counties Oil Co., a California LP",NA,NA,NA,111922,5812,106110,0,0,0,0,0,0,,,,
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,2016,Waste,Landfills,562212,Solid Waste Landfill,Waste Management Inc.,East Wenatchee,Douglas,Ecology: Central Regional Office,30653,0,0,30653,0,0,0,0,0,,2,"(47.405083, -120.167444)",POINT (-120.167444 47.405083)
EPIC Aviation LLC,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Downstream Aviation LP,NA,NA,NA,61987,0,61987,0,0,0,0,0,0,,,,
Cardinal FG Company - Winlock,2014,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,102634,0,102560,34,40,0,0,0,0,,3,"(46.544937, -122.926313)",POINT (-122.926313 46.544937)
Phillips 66 Ferndale Refinery - Ferndale,2014,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,770955,0,766991,2044,1920,0,0,0,0,,3,"(48.830142, -122.692114)",POINT (-122.69211400000002 48.830142)
Kimberly-Clark Corporation - Everett,2012,Pulp and Paper,Sulfite Mills,322121,Paper (except Newsprint) Mills,Kimberly-Clark Corporation,Everett,Snohomish,Ecology: Industrial Section,26746,0,26716,13,18,0,0,0,0,Last year reporting.  Facility shut down.,2,"(47.985, -122.216111)",POINT (-122.216111 47.985)
Cowlitz County Headquarters Landfill - Castle Rock,2016,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,178854,7724,0,171103,28,0,0,0,0,,3,"(46.246902, -122.772284)",POINT (-122.772284 46.246902)
Sierra Pacific Industries - Aberdeen,2015,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Aberdeen,Grays Harbor,Olympic Region Clean Air Agency,249544,245941,317,472,2813,0,0,0,0,,3,"(46.971875, -123.775526)",POINT (-123.775526 46.971875)
Lamb Weston - Warden,2020,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Ochoa AG Unlimited Foods Inc.,Warden,Grant,Ecology: Eastern Regional Office,13694,0,13680,7,8,0,0,0,0,,1,"(46.971504, -119.055427)",POINT (-119.05542700000001 46.971504)
NW Natural LDC - WA - statewide,2012,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,NW Natural,Portland,Clark,Southwest Clean Air Agency,7666,0,9,7657,0,0,0,0,0,,1,,
"SEI Fuel Services, Inc.",2012,Transportation Fuel Supplier,Transportation Fuel Supplier,447110,Gasoline Stations with Convenience Stores,"7-Eleven, Inc.",NA,NA,NA,381994,25484,356510,0,0,0,0,0,0,,,,
REC Solar Grade Silicon - Moses Lake,2014,Metals,Other Metals,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),REC Silicon,Moses Lake,Grant,Ecology: Eastern Regional Office,142533,0,142387,67,80,0,0,0,0,,3,"(47.138359, -119.200383)",POINT (-119.200383 47.138359)
"Associated Petroleum Products, Inc.",2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,"Associated Petroleum Products, Inc.",NA,NA,NA,1325248,45274,1279974,0,0,0,0,0,0,,,,
PetroCard Inc.,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),BBI,NA,NA,NA,1066990,34044,1032946,0,0,0,0,0,0,,,,
Fairchild AFB - Spokane Co.,2015,Government,National Security,928110,National Security,US Government,Fairchild AFB,Spokane,Spokane Regional Clean Air Agency,14052,0,14038,7,8,0,0,0,0,,1,"(47.641332, -117.644832)",POINT (-117.64483200000001 47.641332)
Puget Sound Energy LDC - statewide,2012,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,61475,0,76,61400,0,0,0,0,0,,2,,
Vitol Biofuels Marketing LLC,2020,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Euromin Inc.,NA,NA,NA,0,0,0,0,0,0,0,0,0,Voluntary reporter.,,,
"Bio Energy Washington, LLC - Maple Valley",2016,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Bio Energy Washington,Maple Valley,King,Puget Sound Clean Air Agency,29129,27370,1612,44,103,0,0,0,0,,2,"(47.455871, -122.041817)",POINT (-122.041817 47.455871)
Port Townsend Paper Corporation - Port Townsend,2014,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Crown Paper Group Inc.,Port Townsend,Jefferson,Ecology: Industrial Section,562963,501477,58102,596,2789,0,0,0,0,,3,"(48.093793, -122.796806)",POINT (-122.79680600000002 48.093793)
"RPMG, Inc.",2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424700,Petroleum and Petroleum Products Merchant Wholesalers,"Renewable Products Marketing Group, LLC",NA,NA,NA,0,0,0,0,0,0,0,0,0,,,,
Imerys Minerals Quincy Plant - Quincy,2018,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,22730,0,22706,11,13,0,0,0,0,,1,"(47.239948, -119.838831)",POINT (-119.83883100000001 47.239948)
U.S. Department of Energy Hanford Site - Richland,2012,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,14865,0,4334,10523,7,0,0,0,0,,1,"(46.55069, -119.489007)",POINT (-119.48900700000002 46.55069)
Tree Top - Prosser,2020,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Prosser,Benton,Benton Clean Air Agency,17983,0,17964,9,10,0,0,0,0,,1,"(46.21842, -119.73397)",POINT (-119.73397 46.21842)
River Road Generating Plant - Vancouver,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Clark Public Utilities,Vancouver,Clark,Southwest Clean Air Agency,668345,0,667667,310,369,0,0,0,0,,3,"(45.64958, -122.724806)",POINT (-122.724806 45.64958)
Northwest Pipeline Willard C/S - Cook,2013,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,27866,0,23744,4109,13,0,0,0,0,,2,"(45.778087, -121.626311)",POINT (-121.62631100000002 45.778087)
Tree Top - Wenatchee,2016,Food Production,Fruit Products,311423,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Wenatchee,Chelan,Ecology: Central Regional Office,8449,0,8440,4,5,0,0,0,0,,1,"(47.48938, -120.31426)",POINT (-120.31425999999999 47.48938)
Puget Sound Energy - Encogen Generating Station - Bellingham,2020,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Bellingham,Whatcom,Northwest Clean Air Agency,178316,0,178135,83,98,0,0,0,0,,3,"(48.746, -122.486)",POINT (-122.486 48.74600000000001)
Chevron U.S.A. Inc.,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Chevron U.S.A. Inc.,NA,NA,NA,2951815,199793,2752022,0,0,0,0,0,0,,,,
"SEI Fuel Services, Inc.",2013,Transportation Fuel Supplier,Transportation Fuel Supplier,447110,Gasoline Stations with Convenience Stores,"7-Eleven, Inc.",NA,NA,NA,358202,23907,334295,0,0,0,0,0,0,,,,
WestRock LLC - Longview,2019,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Longview,Cowlitz,Ecology: Industrial Section,1555080,1408358,139775,1330,5617,0,0,0,0,,4,"(46.10361, -122.92167)",POINT (-122.92167 46.10361)
Boulder Park Generating Station - Spokane Valley,2017,Power Plants,"Other Power, Heating, or Cooling Plants",221112,Fossil Fuel Electric Power Generation,Avista Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,13286,0,13272,6,7,0,0,0,0,,1,"(47.696999, -117.147223)",POINT (-117.147223 47.696999)
CityServiceValcon LLC,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"CityServiceValcon, LLC",NA,NA,NA,384845,19040,365805,0,0,0,0,0,0,,,,
Cosmo Specialty Fibers Inc - Cosmopolis,2013,Pulp and Paper,Sulfite Mills,322110,Pulp Mills,Gores Group,Cosmopolis,Grays Harbor,Ecology: Industrial Section,1105362,1078626,16677,6861,3198,0,0,0,0,,4,"(46.952907, -123.76211)",POINT (-123.76211 46.952907)
Frito Lay - Vancouver,2018,Food Production,Other Food Products,311919,Other Snack Food Manufacturing,PepsiCo Inc,Vancouver,Clark,Southwest Clean Air Agency,16728,0,16711,8,9,0,0,0,0,,1,"(45.657037, -122.692)",POINT (-122.692 45.657037)
Ash Grove Cement Company - Seattle,2012,Minerals,Cement Production,327310,Cement Manufacturing,Ash Grove Cement Co.,Seattle,King,Puget Sound Clean Air Agency,305298,0,304825,227,246,0,0,0,0,,3,"(47.56799, -122.34255)",POINT (-122.34255 47.56799)
Michelsen Packaging - Yakima,2015,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,9296,0,9286,5,5,0,0,0,0,,1,"(46.604058, -120.513015)",POINT (-120.513015 46.604058)
TransAlta Centralia Generation LLC - Centralia,2015,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,5665101,0,5619677,16615,28808,0,0,0,0,,5,"(46.7559, -122.8578)",POINT (-122.8578 46.7559)
City of Tacoma Solid Waste Facility - Tacoma,2018,Waste,Landfills,562212,Solid Waste Landfill,City of Tacoma,Tacoma,Pierce,Puget Sound Clean Air Agency,12797,0,0,12797,0,0,0,0,0,,1,"(47.223413, -122.499775)",POINT (-122.49977500000001 47.22341300000001)
Basic American Foods - Moses Lake,2016,Food Production,Potato Products,311423,Dried and Dehydrated Food Manufacturing,Basic American Inc.,Moses Lake,Grant,Ecology: Eastern Regional Office,28977,0,28947,14,16,0,0,0,0,,2,"(47.075183, -119.220408)",POINT (-119.22040799999999 47.075183)
Puget Sound Energy - Sumas Generating Station - Sumas,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Sumas,Whatcom,Northwest Clean Air Agency,209202,0,208989,97,116,0,0,0,0,,3,"(48.9905, -122.2733)",POINT (-122.27329999999999 48.9905)
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2019,Minerals,Glass Production,327213,Glass Container Manufacturing,O-I Glass Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,22844,0,22828,8,9,0,0,0,0,,1,"(46.031656, -122.866241)",POINT (-122.86624100000002 46.031656)
Sierra Pacific Industries - Burlington - Mount Vernon,2015,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,307168,301371,1771,579,3448,0,0,0,0,,3,"(48.448553, -122.434613)",POINT (-122.43461299999998 48.448553)
Northwest Pipeline C/S - Snohomish,2012,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,31457,0,30804,635,18,0,0,0,0,,2,"(47.78825, -122.05859)",POINT (-122.05858999999998 47.78825)
Horn Rapids Sanitary Landfill - Richland,2017,Waste,Landfills,562212,Solid Waste Landfill,City of Richland,Richland,Benton,Benton Clean Air Agency,18036,0,0,18036,0,0,0,0,0,,1,"(46.346663, -119.348118)",POINT (-119.348118 46.34666300000001)
"Analog Devices, Inc. - Camas",2013,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,Linear Technology Corporation,Camas,Clark,Southwest Clean Air Agency,21859,0,1648,1,1174,967,16904,1145,21,,1,"(45.598844, -122.45232)",POINT (-122.45232 45.59884400000001)
Frederickson Power LP - Tacoma,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,271639,0,271363,126,150,0,0,0,0,,3,"(47.086342, -122.365686)",POINT (-122.36568599999998 47.086342)
"Analog Devices, Inc. - Camas",2017,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,Linear Technology Corporation,Camas,Clark,Southwest Clean Air Agency,22181,0,2010,1,1345,1902,13725,3071,127,,1,"(45.598844, -122.45232)",POINT (-122.45232 45.59884400000001)
"North Pacific Paper Company, LLC - Longview",2019,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,NP Paper Investor Holdings LLC,Longview,Cowlitz,Southwest Clean Air Agency,38216,0,38177,18,21,0,0,0,0,Formerly part of Nippon Dynawave before 2016.,2,"(46.125662, -122.976788)",POINT (-122.976788 46.125662)
Boulder Park Generating Station - Spokane Valley,2014,Power Plants,"Other Power, Heating, or Cooling Plants",221112,Fossil Fuel Electric Power Generation,Avista Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,7552,0,7544,4,4,0,0,0,0,,1,"(47.696999, -117.147223)",POINT (-117.147223 47.696999)
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,2020,Chemicals,Fertilizer Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,145127,0,10847,1,134280,0,0,0,0,,3,"(46.165957, -119.017218)",POINT (-119.017218 46.165957000000006)
Puget Sound Energy - Frederickson Generating Station - Tacoma,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,34538,0,34504,16,18,0,0,0,0,,2,"(47.079716, -122.364711)",POINT (-122.364711 47.079716)
Alon Asphalt Company - Seattle,2015,Petroleum Systems,Other Petroleum Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Delek US Holdings Inc.,Seattle,King,Puget Sound Clean Air Agency,13688,0,13665,16,7,0,0,0,0,,1,"(47.781642, -122.395299)",POINT (-122.39529900000001 47.781642)
Northwest Pipeline Willard C/S - Cook,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,9287,0,7707,1575,4,0,0,0,0,,1,"(45.778087, -121.626311)",POINT (-121.62631100000002 45.778087)
Grays Harbor Energy Center - Elma,2016,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Stark Power Generation I Holdings LLC,Elma,Grays Harbor,EFSEC,1081729,0,1080630,501,597,0,0,0,0,,4,"(46.9688, -123.48)",POINT (-123.48 46.9688)
Lamb Weston - Connell,2012,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Connell,Franklin,Ecology: Eastern Regional Office,39714,0,39672,19,22,0,0,0,0,,2,"(46.651389, -118.871944)",POINT (-118.87194400000001 46.651389)
Northwest Pipeline C/S - Sumner,2020,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumner,Pierce,Puget Sound Clean Air Agency,9603,0,9167,431,5,0,0,0,0,,1,"(47.228986, -122.209551)",POINT (-122.20955100000002 47.228986)
Western Petroleum Company,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"World Fuel Services, Corp",NA,NA,NA,19449,478,18971,0,0,0,0,0,0,,,,
"Associated Petroleum Products, Inc.",2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,"World Fuel Services, Corp",NA,NA,NA,1686102,58808,1627294,0,0,0,0,0,0,,,,
Darigold - Sunnyside,2013,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,19266,0,19246,9,11,0,0,0,0,,1,"(46.30058, -120.015675)",POINT (-120.01567500000002 46.30058)
Cardinal FG Company - Winlock,2017,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,107590,0,107513,35,42,0,0,0,0,,3,"(46.544937, -122.926313)",POINT (-122.926313 46.544937)
Georgia-Pacific Gypsum LLC - Tacoma,2018,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,49065,0,49015,23,27,0,0,0,0,,2,"(47.269558, -122.394869)",POINT (-122.39486900000001 47.269558)
Sierra Pacific Industries - Centralia,2013,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,42412,41853,0,80,479,0,0,0,0,,2,"(46.756413, -122.995433)",POINT (-122.99543300000002 46.756413)
Ponderay Newsprint Company - Usk,2018,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Ponderay Newsprint Company,Usk,Pend Oreille,Ecology: Eastern Regional Office,42200,39194,2472,78,455,0,0,0,0,,2,"(48.289771, -117.271359)",POINT (-117.27135900000002 48.289771)
Hampton Lumber Mills Washington Inc. - Randle,2014,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,56286,55544,0,107,635,0,0,0,0,,2,"(46.533743, -121.917906)",POINT (-121.91790600000002 46.533743)
Cardinal FG Company - Winlock,2019,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,93971,0,93904,31,36,0,0,0,0,,2,"(46.544937, -122.926313)",POINT (-122.926313 46.544937)
The Boeing Company - Renton,2013,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,19419,0,19400,9,11,0,0,0,0,,1,"(47.498257, -122.211346)",POINT (-122.211346 47.498257)
J.R. Simplot Company - Moses Lake,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,39793,3699,30183,5881,30,0,0,0,0,,2,"(47.131732, -119.18926)",POINT (-119.18926000000002 47.131732)
Northwest Hardwoods Inc. - Longview,2013,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Longview,Cowlitz,Southwest Clean Air Agency,14936,9533,5270,21,112,0,0,0,0,,1,"(46.114537, -122.916806)",POINT (-122.91680600000001 46.114537)
"SEH America, Inc - Vancouver",2017,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,9859,0,9848,5,6,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
U.S. Department of Energy Hanford Site - Richland,2016,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,14174,0,4453,9714,7,0,0,0,0,,1,"(46.55069, -119.489007)",POINT (-119.48900700000002 46.55069)
Northwest Hardwoods Inc. - Centralia,2014,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,15486,10615,4725,23,124,0,0,0,0,,1,"(46.734454, -122.991963)",POINT (-122.99196300000001 46.734454)
HollyFrontier Refining & Marketing LLC,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,HollyFrontier Corporation,NA,NA,NA,522,0,522,0,0,0,0,0,0,,,,
Riverside Feeders SFL - Kennewick,2020,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Riverside Feeders,Kennewick,Benton,Benton Clean Air Agency,0,0,0,0,0,0,0,0,0,Failed to report.,1,"(45.991872, -119.136497)",POINT (-119.136497 45.991872)
Lamb Weston - Connell,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Connell,Franklin,Ecology: Eastern Regional Office,37212,0,37174,18,21,0,0,0,0,,2,"(46.651389, -118.871944)",POINT (-118.87194400000001 46.651389)
REC Solar Grade Silicon - Moses Lake,2016,Metals,Other Metals,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),REC Silicon,Moses Lake,Grant,Ecology: Eastern Regional Office,70588,0,70515,33,40,0,0,0,0,,2,"(47.138359, -119.200383)",POINT (-119.200383 47.138359)
J.R. Simplot Company - Othello,2012,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Othello,Adams,Ecology: Eastern Regional Office,93771,0,44371,49376,25,0,0,0,0,,2,"(46.837778, -119.176389)",POINT (-119.17638900000001 46.837778)
Kettle Falls Generating Station - Kettle Falls,2019,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Avista Corp.,Kettle Falls,Stevens,Ecology: Eastern Regional Office,450189,424690,11848,8787,4864,0,0,0,0,,3,"(48.620335, -118.110841)",POINT (-118.110841 48.620335)
Sierra Pacific Industries - Aberdeen,2019,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Aberdeen,Grays Harbor,Olympic Region Clean Air Agency,281133,275592,1858,530,3153,0,0,0,0,,3,"(46.971875, -123.775526)",POINT (-123.775526 46.971875)
U.S. Oil & Refining Co. - Tacoma,2014,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,179363,0,176926,1857,580,0,0,0,0,,3,"(47.256813, -122.394952)",POINT (-122.394952 47.256813)
"Associated Petroleum Products, Inc.",2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,"World Fuel Services, Corp",NA,NA,NA,1990731,65716,1925015,0,0,0,0,0,0,,,,
United Parcel Service Co,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,481112,Scheduled Freight Air Transportation,"UPS, Inc.",NA,NA,NA,60499,0,60499,0,0,0,0,0,0,,,,
BP West Coast Products LLC,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,BP America Inc.,NA,NA,NA,6053769,0,6053769,0,0,0,0,0,0,,,,
Lamb Weston - Warden,2014,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Ochoa AG Unlimited Foods Inc.,Warden,Grant,Ecology: Eastern Regional Office,17384,0,17366,8,10,0,0,0,0,,1,"(46.971504, -119.055427)",POINT (-119.05542700000001 46.971504)
"SEI Fuel Services, Inc.",2020,Transportation Fuel Supplier,Transportation Fuel Supplier,447110,Gasoline Stations with Convenience Stores,"7-Eleven, Inc.",NA,NA,NA,256813,16264,240549,0,0,0,0,0,0,,,,
"Coleman Oil Company, LLC",2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Coleman Oil Company, LLC",NA,NA,NA,825188,36978,788210,0,0,0,0,0,0,,,,
