actor_id,type,name,is_part_of,is_owned_by,datasource_id
US OKC:EPA_1009264,site,355 Chatauque Platform,US OKC,,EPA_GHGRP:2021
US OKC:EPA_1008286,site,355 Chautauqua Platform DEC,US OKC,,EPA_GHGRP:2021
US OKC:EPA_1009265,site,360 Anadarko Basin,US OKC,,EPA_GHGRP:2021
US HOU:EPA_1012522,site,360 Anadarko Basin,US HOU,,EPA_GHGRP:2021
US HOU:EPA_1008558,site,360 Anadarko Basin - BP America Production Company,US HOU,,EPA_GHGRP:2021
US OKC:EPA_1008287,site,360 Anadarko Basin DEC,US OKC,,EPA_GHGRP:2021
US TUL:EPA_1009285,site,360 Anadarko Basin QEP Energy Company,US TUL,,EPA_GHGRP:2021
US DEN:EPA_1013331,site,360 Anadarko Camino Production,US DEN,,EPA_GHGRP:2021
US HOU:EPA_1012523,site,375 Sedgwick Basin,US HOU,,EPA_GHGRP:2021
US HOU:EPA_1012526,site,395 Williston Basin,US HOU,,EPA_GHGRP:2021
US DEN:EPA_1009281,site,395 Williston Basin QEP Energy Company,US DEN,,EPA_GHGRP:2021
US HOB:EPA_1013937,site,3Bear - 430 - Permian Basin Gathering and Boosting,US HOB,,EPA_GHGRP:2021
US HOB:EPA_1013621,site,3Bear Libby Gas Plant,US HOB,,EPA_GHGRP:2021
US BWD:EPA_1003188,site,3M BROWNWOOD,US BWD,,EPA_GHGRP:2021
US NPQ:EPA_1005043,site,3M CO,US NPQ,,EPA_GHGRP:2021
US GWU:EPA_1003739,site,3M CO - GUIN,US GWU,,EPA_GHGRP:2021
US AUW:EPA_1007698,site,3M CO - WAUSAU DOWNTOWN,US AUW,,EPA_GHGRP:2021
US DCU:EPA_1004206,site,3M COMPANY,US DCU,,EPA_GHGRP:2021
US ODV:EPA_1006665,site,3M CORDOVA,US ODV,,EPA_GHGRP:2021
US AGG:EPA_1004836,site,3M Cottage Grove Center - Site,US AGG,,EPA_GHGRP:2021
US LIT:EPA_1003408,site,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,US LIT,,EPA_GHGRP:2021
US HCH:EPA_1004914,site,3M MAGNETIC TAPE MANUFACTURING DIVISION,US HCH,,EPA_GHGRP:2021
US NVD:EPA_1004804,site,3M NEVADA PLANT,US NVD,,EPA_GHGRP:2021
US MCP:EPA_1013282,site,3M Pittsboro,US MCP,,EPA_GHGRP:2021
US-PA:EPA_1007408,site,4 West Mine,US-PA,,EPA_GHGRP:2021
US DRB:EPA_1009276,site,415 Strawn Basin BKV,US DRB,,EPA_GHGRP:2021
US HOU:EPA_1012495,site,420 Fort Worth Syncline,US HOU,,EPA_GHGRP:2021
US DRB:EPA_1008289,site,420 Fort Worth Syncline BKV,US DRB,,EPA_GHGRP:2021
US HOU:EPA_1012470,site,425 Bend Arch,US HOU,,EPA_GHGRP:2021
US OKC:EPA_1013815,site,430 Cotton Draw Midstream,US OKC,,EPA_GHGRP:2021
US HOU:EPA_1012500,site,430 Permian Basin,US HOU,,EPA_GHGRP:2021
US OKC:EPA_1009270,site,430 Permian Basin,US OKC,,EPA_GHGRP:2021
US OKC:EPA_1008290,site,430 Permian Basin DEC,US OKC,,EPA_GHGRP:2021
US OKC:EPA_1012353,site,430 Permian Basin GB DEC,US OKC,,EPA_GHGRP:2021
US DEN:EPA_1009691,site,430 Permian Basin QEP Energy Company,US DEN,,EPA_GHGRP:2021
US HLM:EPA_1001106,site,48th Street Peaking Station,US HLM,,EPA_GHGRP:2021
US GCC:EPA_1012037,site,50 Buttes Gas Plant,US GCC,,EPA_GHGRP:2021
US HOU:EPA_1009790,site,507 Central Western Overthrust Basin - BP America Production Company,US HOU,,EPA_GHGRP:2021
US DEN:EPA_1008294,site,507 Central Western Overthrust QEP Energy Company,US DEN,,EPA_GHGRP:2021
US DEN:EPA_1012569,site,515 Powder River Basin,US DEN,,EPA_GHGRP:2021
US OKC:EPA_1009278,site,515 Powder River Basin DEC,US OKC,,EPA_GHGRP:2021
US OKC:EPA_1011262,site,515 Powder River Basin RKI Exploration & Production,US OKC,,EPA_GHGRP:2021
US HOU:EPA_1008622,site,535 Green River Basin - BP America Production Company,US HOU,,EPA_GHGRP:2021
US OKC:EPA_1008621,site,535 Green River Basin DEC,US OKC,,EPA_GHGRP:2021
US DEN:EPA_1008295,site,535 Green River Basin QEP Energy Company,US DEN,,EPA_GHGRP:2021
US DEN:EPA_1009282,site,575 Uinta Basin QEP Energy Company,US DEN,,EPA_GHGRP:2021
US DRO:EPA_1012154,site,580 - San Juan Basin Gathering/Boosting,US DRO,,EPA_GHGRP:2021
US DRO:EPA_1009076,site,580 San Juan Basin - Simcoe LLC,US DRO,,EPA_GHGRP:2021
US OKC:EPA_1008974,site,580 San Juan Basin DEC,US OKC,,EPA_GHGRP:2021
US MIA:EPA_1004680,site,58TH ST LF (MAIN COUNTY LF),US MIA,,EPA_GHGRP:2021
US NYC:EPA_1000766,site,59th Street,US NYC,,EPA_GHGRP:2021
US HOU:EPA_1007733,site,69TH ST WWTP,US HOU,,EPA_GHGRP:2021
US SJB:EPA_1008499,site,745 San Joaquin Basin Chevron USA Inc.,US SJB,,EPA_GHGRP:2021
US NYC:EPA_1000767,site,74th Street,US NYC,,EPA_GHGRP:2021
US OVO:EPA_1001033,site,A B Brown Generating Station,US OVO,,EPA_GHGRP:2021
US MSY:EPA_1001607,site,A B Paterson,US MSY,,EPA_GHGRP:2021
US DKP:EPA_1012058,site,"A.C.M.S., Inc.",US DKP,,EPA_GHGRP:2021
US P37:EPA_1013527,site,A.J. Mihm Generating Station,US P37,,EPA_GHGRP:2021
US IRS:EPA_1002853,site,ABBOTT NUTRITION,US IRS,,EPA_GHGRP:2021
US ABJ:EPA_1002983,site,ABBOTT PARK FACILITY,US ABJ,,EPA_GHGRP:2021
US-PR:EPA_1007514,site,ABBVIE LTD.,US-PR,,EPA_GHGRP:2021
US TNW:EPA_1004511,site,ABC COKE,US TNW,,EPA_GHGRP:2021
US CWO:EPA_1005278,site,ABENGOA BIOENERGY CORPORATION COLWICH ETHANOL PLANT,US CWO,,EPA_GHGRP:2021
US-SD:EPA_1005353,site,ABERDEEN ENERGY LLC,US-SD,,EPA_GHGRP:2021
US-MD:EPA_1006971,site,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,US-MD,,EPA_GHGRP:2021
US XC2:EPA_1003091,site,ABRAHAM COMPRESSOR STATION,US XC2,,EPA_GHGRP:2021
US-IA:EPA_1002627,site,ABSOLUTE ENERGY LLC,US-IA,,EPA_GHGRP:2021
US-TX:EPA_1002685,site,AC 857 A,US-TX,,EPA_GHGRP:2021
US-LA:EPA_1006529,site,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,US-LA,,EPA_GHGRP:2021
US TRH:EPA_1004830,site,ACE Cogeneration Company,US TRH,,EPA_GHGRP:2021
US NYL:EPA_1004761,site,ACE ETHANOL LLC,US NYL,,EPA_GHGRP:2021
US ZEG:EPA_1005601,site,ACME BRICK CO ELGIN PLANT,US ZEG,,EPA_GHGRP:2021
US QNT:EPA_1005046,site,ACME GYPSUM FACILITY,US QNT,,EPA_GHGRP:2021
US ADZ:EPA_1002731,site,ADA COGENERATION,US ADZ,,EPA_GHGRP:2021
US CH7:EPA_1003752,site,"ADA Carbon Solutions (Red River), LLC",US CH7,,EPA_GHGRP:2021
US LEN:EPA_1003422,site,ADKINS ENERGY LLC,US LEN,,EPA_GHGRP:2021
US MKT:EPA_1002154,site,ADM - MANKATO,US MKT,,EPA_GHGRP:2021
US CID:EPA_1006047,site,ADM CORN PROCESSING,US CID,,EPA_GHGRP:2021
US VLH:EPA_1001867,site,ADM CORN PROCESSING,US VLH,,EPA_GHGRP:2021
US CWI:EPA_1006208,site,ADM CORN PROCESSING,US CWI,,EPA_GHGRP:2021
US DFM:EPA_1010610,site,ADM Deerfield,US DFM,,EPA_GHGRP:2021
US FSO:EPA_1011855,site,ADM Fostoria,US FSO,,EPA_GHGRP:2021
US UIN:EPA_1000376,site,ADM QUINCY,US UIN,,EPA_GHGRP:2021
US CHA:EPA_1006080,site,ADM SOUTHERN CELLULOSE PROD.IN,US CHA,,EPA_GHGRP:2021
US DSM:EPA_1000034,site,ADM SOYBEAN PROCESSING - DES MOINES,US DSM,,EPA_GHGRP:2021
US XMK:EPA_1014236,site,ADM Southport,US XMK,,EPA_GHGRP:2021
US VLD:EPA_1011961,site,ADM Valdosta,US VLD,,EPA_GHGRP:2021
US ADG:EPA_1001991,site,ADRIAN LANDFILL,US ADG,,EPA_GHGRP:2021
US YRG:EPA_1001633,site,ADS-CEDAR HILL LANDFILL,US YRG,,EPA_GHGRP:2021
US VLD:EPA_1001636,site,ADS-PECAN ROW-EVERGREEN LANDFILLS,US VLD,,EPA_GHGRP:2021
US MD7:EPA_1006790,site,ADS-STAR RIDGE LANDFILL,US MD7,,EPA_GHGRP:2021
US B2L:EPA_1002094,site,ADS/MCLEAN COUNTY LANDFILL,US B2L,,EPA_GHGRP:2021
US ISW:EPA_1001845,site,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,US ISW,,EPA_GHGRP:2021
US MAC:EPA_1003038,site,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",US MAC,,EPA_GHGRP:2021
US-MO:EPA_1006979,site,ADVANCED DISPOSAL OAK RIDGE LANDFILL,US-MO,,EPA_GHGRP:2021
US DJ9:EPA_1001637,site,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,US DJ9,,EPA_GHGRP:2021
US DEC:EPA_1006963,site,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,US DEC,,EPA_GHGRP:2021
US CSZ:EPA_1000627,site,ADVANSIX INC - CHESTERFIELD PLANT,US CSZ,,EPA_GHGRP:2021
US HPW:EPA_1000630,site,ADVANSIX INCORPORATED - HOPEWELL,US HPW,,EPA_GHGRP:2021
US CMH:EPA_1003708,site,AEP Corporate SF6 Emissions,US CMH,,EPA_GHGRP:2021
US-PR:EPA_1005310,site,AES - PUERTO RICO COGENERATION PLANT,US-PR,,EPA_GHGRP:2021
US LGB:EPA_1001444,site,AES Alamitos,US LGB,,EPA_GHGRP:2021
US MNP:EPA_1001222,site,AES Beaver Valley LLC,US MNP,,EPA_GHGRP:2021
US PAS:EPA_1000281,site,"AES Deepwater, Inc.",US PAS,,EPA_GHGRP:2021
US KPI:EPA_1005972,site,AES HAWAII INC,US KPI,,EPA_GHGRP:2021
US HTD:EPA_1001447,site,AES Huntington Beach,US HTD,,EPA_GHGRP:2021
US RBD:EPA_1001450,site,AES Redondo Beach,US RBD,,EPA_GHGRP:2021
US UVL:EPA_1001221,site,AES Thames,US UVL,,EPA_GHGRP:2021
US CBE:EPA_1001223,site,AES Warrior Run,US CBE,,EPA_GHGRP:2021
US PAS:EPA_1008008,site,"AES Western Power, LLC",US PAS,,EPA_GHGRP:2021
US SAU:EPA_1003853,site,AFTON CHEMICAL CORP,US SAU,,EPA_GHGRP:2021
US OGS:EPA_1007551,site,AG Energy,US OGS,,EPA_GHGRP:2021
US EMG:EPA_1002069,site,AG PROCESSING INC,US EMG,,EPA_GHGRP:2021
US IA2:EPA_1002070,site,AG PROCESSING INC A COOP-MANNING,US IA2,,EPA_GHGRP:2021
US EGF:EPA_1006054,site,AG PROCESSING INC-EAGLE GROVE,US EGF,,EPA_GHGRP:2021
US SEI:EPA_1002408,site,AG PROCESSING INC-SHELDON,US SEI,,EPA_GHGRP:2021
US DWM:EPA_1002291,site,AG PROCESSING INCORPORATED A COOPERATIVE,US DWM,,EPA_GHGRP:2021
US RHM:EPA_1007333,site,AGC FLAT GLASS N AMERICA INC,US RHM,,EPA_GHGRP:2021
US KI2:EPA_1004472,site,AGC FLATGLASS NORTH AMERICA-KINGSPORT PLANT,US KI2,,EPA_GHGRP:2021
US HSI:EPA_1002067,site,AGP SOY/CORN PROCESSING,US HSI,,EPA_GHGRP:2021
US UVN:EPA_1005284,site,AGRI ENERGY LLC,US UVN,,EPA_GHGRP:2021
US PAS:EPA_1006743,site,AGRIFOS FERTILIZER PASADENA,US PAS,,EPA_GHGRP:2021
US RGP:EPA_1002380,site,AGRIUM US BORGER NITROGEN OPERATIONS,US RGP,,EPA_GHGRP:2021
US KWC:EPA_1004236,site,AGRIUM US INC - KFO,US KWC,,EPA_GHGRP:2021
US AIK:EPA_1004374,site,AGY LLC,US AIK,,EPA_GHGRP:2021
US EYV:EPA_1001919,site,AHN Heartland Ingredients,US EYV,,EPA_GHGRP:2021
US ELS:EPA_1006430,site,"AIR LIQUID LARGE INDUSTRIES US, LP",US ELS,,EPA_GHGRP:2021
US CRP:EPA_1003724,site,AIR LIQUIDE - CORPUS CHRISTI SMR,US CRP,,EPA_GHGRP:2021
US FPO:EPA_1003730,site,AIR LIQUIDE - FREEPORT HYCO PLANT,US FPO,,EPA_GHGRP:2021
US PON:EPA_1003780,site,AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,US PON,,EPA_GHGRP:2021
US ZLV:EPA_1003910,site,AIR LIQUIDE AMERICA CORP,US ZLV,,EPA_GHGRP:2021
US GSM:EPA_1006115,site,AIR LIQUIDE AMERICA CORP.,US GSM,,EPA_GHGRP:2021
US GSM:EPA_1003591,site,AIR LIQUIDE GEISMAR UTILITY SERVICES,US GSM,,EPA_GHGRP:2021
US RD4:EPA_1003748,site,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,US RD4,,EPA_GHGRP:2021
US WQL:EPA_1003013,site,AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,US WQL,,EPA_GHGRP:2021
US CEN:EPA_1002754,site,AIR PRODUCTS & CHEMICALS INC - CONVENT SMR,US CEN,,EPA_GHGRP:2021
US GSM:EPA_1002698,site,AIR PRODUCTS & CHEMICALS INC - Geismar SMR,US GSM,,EPA_GHGRP:2021
US MSY:EPA_1003009,site,AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,US MSY,,EPA_GHGRP:2021
US MRZ:EPA_1002121,site,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,US MRZ,,EPA_GHGRP:2021
US MRZ:EPA_1002122,site,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",US MRZ,,EPA_GHGRP:2021
US CGK:EPA_1005809,site,AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,US CGK,,EPA_GHGRP:2021
US GYV:EPA_1002727,site,AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,US GYV,,EPA_GHGRP:2021
US SAC:EPA_1002123,site,AIR PRODUCTS AND CHEMICALS INCORPORATED,US SAC,,EPA_GHGRP:2021
US HPY:EPA_1002430,site,AIR PRODUCTS BAYTOWN PLANT,US HPY,,EPA_GHGRP:2021
US CRU:EPA_1002257,site,AIR PRODUCTS CARSON HYDROGEN PLANT,US CRU,,EPA_GHGRP:2021
US GSM:EPA_1003010,site,AIR PRODUCTS CHEMICALS INC,US GSM,,EPA_GHGRP:2021
US SCK:EPA_1000341,site,AIR PRODUCTS MANUFACTURING CORP STOCKTON COGEN,US SCK,,EPA_GHGRP:2021
US WTN:EPA_1002435,site,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,US WTN,,EPA_GHGRP:2021
US-TX:EPA_1010475,site,AJAX PLANT,US-TX,,EPA_GHGRP:2021
US ANL:EPA_1005614,site,AK STEEL CORP ASHLAND WORKS COKE PLANT,US ANL,,EPA_GHGRP:2021
US ANL:EPA_1005615,site,AK Steel Corporation West Works,US ANL,,EPA_GHGRP:2021
US-TX:EPA_1003129,site,AKER PLANT,US-TX,,EPA_GHGRP:2021
US AKH:EPA_1006088,site,AKRON REGIONAL LANDFILL *,US AKH,,EPA_GHGRP:2021
US C2M:EPA_1005149,site,AL CORN CLEAN FUEL,US C2M,,EPA_GHGRP:2021
US WH9:EPA_1000129,site,AL Sandersville,US WH9,,EPA_GHGRP:2021
US OEN:EPA_1004823,site,AL TURI LANDFILL & LFGTE FACILITY,US OEN,,EPA_GHGRP:2021
US XPE:EPA_1007917,site,"ALABAMA RIVER CELLULOSE, LLC",US XPE,,EPA_GHGRP:2021
US DNN:EPA_1007272,site,ALADDIN MILLS - ANTIOCH RD PLA NT,US DNN,,EPA_GHGRP:2021
US ALB:EPA_1006276,site,ALBANY LANDFILL,US ALB,,EPA_GHGRP:2021
US OGB:EPA_1004231,site,ALBEMARLE CORP,US OGB,,EPA_GHGRP:2021
US PAS:EPA_1003402,site,ALBEMARLE CORPORATION HOUSTON PLANT,US PAS,,EPA_GHGRP:2021
US AGO:EPA_1004307,site,ALBEMARLE CORPORATION-SOUTH PLANT,US AGO,,EPA_GHGRP:2021
US XJT:EPA_1001877,site,ALCOA INC - WARRICK OPERATIONS,US XJT,,EPA_GHGRP:2021
US FDT:EPA_1003562,site,ALCOA INTALCO WORKS,US FDT,,EPA_GHGRP:2021
US MG5:EPA_1000635,site,ALCOA WENATCHEE LLC,US MG5,,EPA_GHGRP:2021
US PCR:EPA_1003201,site,ALCOA WORLD ALUMINA ATLANTIC,US PCR,,EPA_GHGRP:2021
US FNV:EPA_1003147,site,ALCOA-MARYVILLE-BLOUNT COUNTY LANDFILL,US FNV,,EPA_GHGRP:2021
US SCZ:EPA_1004335,site,ALL PURPOSE LANDFILL,US SCZ,,EPA_GHGRP:2021
US KY3:EPA_1005862,site,ALLEGANY BALLISTICS LABORATORY,US KY3,,EPA_GHGRP:2021
US LEC:EPA_1005006,site,"ALLEGHENY LUDLUM, BAGDAD FACILITY",US LEC,,EPA_GHGRP:2021
US KHP:EPA_1007192,site,ALLEN COUNTY PUBLIC WORKS,US KHP,,EPA_GHGRP:2021
US DLH:EPA_1010640,site,"ALLETE, Inc. Transmission and Distribution System",US DLH,,EPA_GHGRP:2021
US JSI:EPA_1005887,site,ALLIANCE COMPRESSOR STATION,US JSI,,EPA_GHGRP:2021
US CCO:EPA_1012999,site,ALLIANCE PETROLEUM CORPORATION,US CCO,,EPA_GHGRP:2021
US IUB:EPA_1005705,site,ALLIANCE PIPELINE - OLIVIA 23-A,US IUB,,EPA_GHGRP:2021
US MNX:EPA_1001559,site,ALLIANCE PIPELINE L.P. - MANCHESTER,US MNX,,EPA_GHGRP:2021
US TMK:EPA_1001560,site,ALLIANCE PIPELINE LP,US TMK,,EPA_GHGRP:2021
US FMK:EPA_1000245,site,"ALLIANCE PIPELINE, L.P.-FAIRMOUNT COMPRESSOR STATION",US FMK,,EPA_GHGRP:2021
US W9B:EPA_1001558,site,"ALLIANCE PIPELINE, L.P.-WIMBLEDON COMPRESSOR STATION",US W9B,,EPA_GHGRP:2021
US TYP:EPA_1007645,site,ALLIANCE SANI LDFL,US TYP,,EPA_GHGRP:2021
US IDO:EPA_1006197,site,ALLIED IMPERIAL LANDFILL,US IDO,,EPA_GHGRP:2021
US-TX:EPA_1003246,site,ALLISON COMPRESSOR STATION,US-TX,,EPA_GHGRP:2021
US IXS:EPA_1007496,site,ALLISON GAS PLANT,US IXS,,EPA_GHGRP:2021
US IND:EPA_1000048,site,"ALLISON TRANSMISSION, Inc.",US IND,,EPA_GHGRP:2021
US DEN:EPA_1012251,site,ALLP Greenriver Basin,US DEN,,EPA_GHGRP:2021
US DEN:EPA_1012248,site,ALLP Uinta Basin,US DEN,,EPA_GHGRP:2021
US BXN:EPA_1004327,site,ALMATIS INC - BAUXITE ARKANSAS,US BXN,,EPA_GHGRP:2021
US KZS:EPA_1007622,site,ALON REFINING KROTZ SPRINGS INC,US KZS,,EPA_GHGRP:2021
US-MD:EPA_1007291,site,ALPHA RIDGE LANDFILL,US-MD,,EPA_GHGRP:2021
US DWV:EPA_1013670,site,ALTIVIA Institute Facilities,US DWV,,EPA_GHGRP:2021
US HHO:EPA_1007401,site,"ALTIVIA Petrochemicals, LLC - HAVERHILL COMPLEX",US HHO,,EPA_GHGRP:2021
US BDA:EPA_1007263,site,ALTO COLUMBIA LLC,US BDA,,EPA_GHGRP:2021
US ZBU:EPA_1007264,site,ALTO MAGIC VALLEY LLC,US ZBU,,EPA_GHGRP:2021
US ALN:EPA_1003268,site,ALTON STEEL COMPANY,US ALN,,EPA_GHGRP:2021
US SCC:EPA_1005184,site,ALYESKA PIPELINE SE/TAPS PUMP STATION 01,US SCC,,EPA_GHGRP:2021
US VDZ:EPA_1005781,site,"ALYESKA PIPELINE SERVICE COMPANY, Valdez Marine Terminal",US VDZ,,EPA_GHGRP:2021
US VEZ:EPA_1005491,site,"AM/NS Calvert, LLC",US VEZ,,EPA_GHGRP:2021
US TWF:EPA_1005712,site,AMALGAMATED SUGAR CO LLC,US TWF,,EPA_GHGRP:2021
US PAZ:EPA_1006412,site,AMALGAMATED SUGAR CO LLC,US PAZ,,EPA_GHGRP:2021
US NPA:EPA_1005707,site,AMALGAMATED SUGAR CO LLC,US NPA,,EPA_GHGRP:2021
US SYU:EPA_1007178,site,AMEA Sylacauga Plant,US SYU,,EPA_GHGRP:2021
US PAS:EPA_1004732,site,AMERICAN ACRYL PASADENA,US PAS,,EPA_GHGRP:2021
US TUL:EPA_1005432,site,AMERICAN AIRLINES,US TUL,,EPA_GHGRP:2021
US KMQ:EPA_1004417,site,AMERICAN AVENUE LANDFILL,US KMQ,,EPA_GHGRP:2021
US BHM:EPA_1005327,site,AMERICAN CAST IRON PIPE CO,US BHM,,EPA_GHGRP:2021
US CGY:EPA_1008041,site,AMERICAN COLLOID,US CGY,,EPA_GHGRP:2021
US CKN:EPA_1006354,site,AMERICAN CRYSTAL SUGAR - CROOKSTON,US CKN,,EPA_GHGRP:2021
US EGQ:EPA_1005751,site,AMERICAN CRYSTAL SUGAR - E GRAND FORKS,US EGQ,,EPA_GHGRP:2021
US H8S:EPA_1005753,site,AMERICAN CRYSTAL SUGAR - HILLSBORO,US H8S,,EPA_GHGRP:2021
US XIH:EPA_1006877,site,AMERICAN CRYSTAL SUGAR - MOORHEAD,US XIH,,EPA_GHGRP:2021
US SDQ:EPA_1002552,site,AMERICAN ENVIRONMENTAL LANDFILL,US SDQ,,EPA_GHGRP:2021
US XCV:EPA_1007095,site,AMERICAN FUJI SEAL INC,US XCV,,EPA_GHGRP:2021
US BEO:EPA_1000007,site,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,US BEO,,EPA_GHGRP:2021
US DUK:EPA_1005175,site,AMERICAN GYPSUM CO /GYPSUM WALLBOARD PLT,US DUK,,EPA_GHGRP:2021
US ABQ:EPA_1004845,site,AMERICAN GYPSUM COMPANY,US ABQ,,EPA_GHGRP:2021
US GM2:EPA_1007404,site,AMERICAN GYPSUM COMPANY,US GM2,,EPA_GHGRP:2021
US BFD:EPA_1005590,site,AMERICAN REFINING GROUP INC,US BFD,,EPA_GHGRP:2021
US AQX:EPA_1001860,site,AMERICAN SUGAR REFINING INC - Chalmette Refinery,US AQX,,EPA_GHGRP:2021
US LUI:EPA_1006919,site,AMERICAN SYNTHETIC RUBBER,US LUI,,EPA_GHGRP:2021
US-LA:EPA_1001962,site,AMERICAS STYRENICS LLC - ST JAMES PLANT,US-LA,,EPA_GHGRP:2021
US JTO:EPA_1005413,site,AMGEN INC,US JTO,,EPA_GHGRP:2021
US-PR:EPA_1005072,site,"AMGEN MANUFACTURING, LIMITED",US-PR,,EPA_GHGRP:2021
US DAL:EPA_1013405,site,AMP Angelina - Basin 260 G&B,US DAL,,EPA_GHGRP:2021
US XFK:EPA_1008730,site,AMP Fremont Energy Center,US XFK,,EPA_GHGRP:2021
US BWO:EPA_1000208,site,AMP-Ohio Gas Turbines Bowling Green,US BWO,,EPA_GHGRP:2021
US GQQ:EPA_1006506,site,AMP-Ohio Gas Turbines Galion,US GQQ,,EPA_GHGRP:2021
US NAL:EPA_1001344,site,AMP-Ohio Gas Turbines Napoleon,US NAL,,EPA_GHGRP:2021
US CMS:EPA_1004746,site,ANALOG DEVICES,US CMS,,EPA_GHGRP:2021
US MNP:EPA_1006810,site,ANCHOR ACQUISITION LLC MONACA PLT,US MNP,,EPA_GHGRP:2021
US LNC:EPA_1004508,site,ANCHOR HOCKING GLASS CO PLANT NO 1 *,US LNC,,EPA_GHGRP:2021
US ERQ:EPA_1007341,site,ANCHORAGE REGIONAL LANDFILL,US ERQ,,EPA_GHGRP:2021
US GO8:EPA_1002416,site,ANDECTOR BOOSTER STATION,US GO8,,EPA_GHGRP:2021
US ADG:EPA_1004275,site,ANDERSON DEVELOPMENT COMPANY,US ADG,,EPA_GHGRP:2021
US HJG:EPA_1007839,site,ANDERSON LANDFILL,US HJG,,EPA_GHGRP:2021
US LFK:EPA_1005392,site,ANGELINA COUNTY WASTE MANAGEMENT CENTER,US LFK,,EPA_GHGRP:2021
US SEX:EPA_1002263,site,ANGUS CHEMICAL CO,US SEX,,EPA_GHGRP:2021
