"Year.Reported.to.CDP","Account.Number","Organization","City","Country","CDP.Region","Access","City.boundary","Type.of.target","Sector","Identify.and.explain.sources.that.differ.from.the.inventory","Target.boundary.relative.to.city.boundary","Base.year","Year.target.was.set","Base.year.emissions..metric.tonnes.CO2e.","Percentage.reduction.target","Target.year","Target.year.absolute.emissions..metric.tonnes.CO2e.","Projected.population.in.target.year","Intensity.unit..Emissions.per.","Base.year.emissions.per.intensity.unit..metric.tonnes.CO2e.per.denominator.","Estimated.business.as.usual.absolute.emissions.in.target.year..metric.tonnes.CO2e.","Percentage.of.target.achieved.so.far","Select.the.initiatives.that.this.target.contributes.towards","Description.of.the.target.and.the.modelling.methodology.ies..and.parameters.used.to.define.it","Does.this.target.align.with.the.global.1.5...2..C.pathway.set.out.in.the.Paris.Agreement.","Does.this.target.align.to.a.requirement.from.a.higher.level.of.government.","Target.description","Population","Population.Year","City.Location","Last.update","name","entity_type","iso"
2021,54488,"Trondheim Municipality","Trondheim","Norway","Europe","public","City / Municipality","Base year emissions (absolute) target","Other, please specify: All direct emissions within the city boundary's are  included in the targets","All direct emissions within the city boundary's are  included in the targets, including fossil emissions from production of district heating/waste incineration. This is in line with guidelines from national ""Planning guidelines for energy and climate policy""https://lovdata.no/dokument/LTI/forskrift/2018-09-28-1469The base year for the emissions reductions targets was moved from 1991 to 2009 in a city council ruling of Trondheims climate budget i December 2020.  This is to make sure the base year is part of emissions inventory time series that is  actively updated and managed by the relevant authorities (local emissions from 1991-2008 are no longer published or updated)","Same (city-wide) – covers entire city and nothing else",2009,2020,541093,80,2030,108218.6,NA,NA,NA,NA,25,"Cities Race to Zero; Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","Yes, but it exceeds its scale or requirement","The national level demand that municipalities establish local emission targets. However, there is no national requirement regarding local emission targets besides that ""the targets have to be ambitious"".",207595,2021,"POINT (10.395 63.4305)","2021-10-04T09:30:14.243","Trondheim","City","NOR"
2021,859110,"Okaya City",NA,"Japan","East Asia","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",1990,NA,408000,25,2020,306000,NA,NA,NA,NA,41.18,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Okaya","City","JPN"
2021,859157,"Matsue City",NA,"Japan","East Asia","public","Special city","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2005,2015,1653000,38.5,2030,1016595,NA,NA,NA,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Matsue","City","JPN"
2021,859172,"Asakura City",NA,"Japan","East Asia","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Asakura","City","JPN"
2021,59644,"City of Culver City, CA","Culver City","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,NA,2019,2019,NA,28,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In 2017, the City joined the Mayors National Climate Action Agenda, whose goal is to cut greenhouse gases by 26 to 28 percent below their 2005 levels by 2025. Additionally, under AB32, Culver City has the goal of reducing GHG emissions to 1990 levels by 2020 and 80% below 1990 emissions levels by 2050. The City completed the 2019 Community and Municipal GHG Inventory Reports. The reports did not assess the target goals.",40173,2019,"POINT (-118.4 34.02)","2021-10-04T09:30:14.243","Culver City, CA","City","USA"
2021,54519,"City of Lund","Lund","Sweden","Europe","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2010,2021,372176,100,2045,0,NA,NA,NA,NA,39,"Cities Race to Zero; Global Covenant of Mayors for Climate & Energy; One Planet City Challenge",NA,"Yes - 2 °C","Yes, but it exceeds its scale or requirement","The target covers electricity, heating, industry, AFOLU, transport, IPPU, waste. It does not cover consumption based emissions. It does not include transferrable emission units or CCS. (The Swedish goal does.) It is supplemented by a goal to become climate positive in 2045 without the use of transferrable emission units.",125941,2020,NA,"2021-10-04T09:30:14.243","Lund","City","SWE"
2021,69834,"Municipalidad de General Alvear (Mendoza)","General Alvear, Buenos Aires","Argentina","Latin America","public","City / Municipality","Baseline scenario (business as usual) target","Other, please specify: Energía, Transporte y Desechos","Se toman a consideración las fuentes de emisión clasificadas en el inventario como básicas (siguiendo el estándar GPC). El nivel BASIC (básico) cubre las fuentes de emisión que se producen en casi todas las ciudades (energía estacionaria, transporte dentro de los límites y desechos generados en la ciudad), donde las metodologías y datos de cálculo están fácilmente disponibles. Se corresponde a un marco de reporte inducido por la ciudad. En detalle, las emisiones cubiertas son: - Energía Estacionaria, alcances 1 y 2 - Transporte, alcance 1 (se utiliza el método de venta de combustible) y 2- Residuos, alcance 1 y 3Se decidió no incorporar las emisiones de agricultura y ganadería y las emisiones de alcance 3 de energía estacionaria (incluidas en el inventario) ya que sobre estas, los gobiernos locales no tienen capacidad de realizar acciones concretas para mitigarlas. Se incluyeron sólo aquellas que pueden ser gestionados más fácilmente a escala local.","Same (city-wide) – covers entire city and nothing else",2014,2019,180102.07,18,2030,NA,NA,NA,NA,242470.86,NA,NA,"Durante el 2014  en Argentina se emitieron 368 millones de toneladas de dióxido de carbono equivalente (MtCO2e).  Por otro lado, las emisiones proyectadas al año 2030 bajo el escenario BAU ascienden a 592 MtCO2e . De esta forma, el aumento porcentual relativo de emisiones proyectado para el 2030 es del 60,87%. Este aumento será considerado para la preparación del escenario BAU de General Alvear donde se proyectarán las emisiones alcanzadas por el nivel BÁSICO. Como se mostró en el punto 3.2.1.6, éste nivel abarca los sectores en los cuales los gobiernos locales poseen mayor capacidad de realizar acciones concretas, y que pueden ser gestionados más fácilmente que los incluidos en el nivel BÁSICO+. Para correlacionar el escenario Business as Usual nacional con el de General Alvear se realizó un ajuste considerando las tasas de aumento poblacional. El factor de ajuste es equivalente a la relación entre la variación poblacional en el período 2014-2030 a nivel nacional y local. Factor de ajuste=  (variación población 2014-2030 General Alvear)/(variación población 2014-2030 Argentina)El INDEC estima que durante este tiempo la población argentina aumentará un 15,79%  y un 8,98%  en el municipio. Por lo tanto el factor de ajuste resulta de 0,57. Así, el aumento de emisiones proyectado para General Alvear será del 34,63%. Tomando de base el inventario BÁSICO de General Alvear del 2014, las emisiones proyectadas bajo el escenario tendencial al 2030 serán de 242.470,86 tCO2e.Tomando como referencia la meta de reducción de emisiones presentada por el país y acorde a lo establecido en el Pacto de Alcaldes por el Clima y la Energía, General Alvear se compromete a reducir sus emisiones de gases de efecto en al menos un 18% respecto al escenario BAU al 2030, considerando las fuentes de emisión del alcance BÁSICO.  De esta forma, en 2030, General Alvear no emitirá más de 111.406,28 tCO2e.","Do not know","No","Se espera que la reducción de emisiones propuesta por General Alvear y las medidas que se desarrollen para su concreción, se sumen a los esfuerzos nacionales.",46429,2010,"POINT (-67.6955 -34.978)","2021-10-04T09:30:14.243","General Alvear, Buenos Aires","City","ARG"
2021,54518,"City of Helsingborg","Helsingborg","Sweden","Europe","public","City / Municipality","Base year emissions (absolute) target","Other, please specify: food",NA,"Same (city-wide) – covers entire city and nothing else",NA,2018,NA,50,2035,NA,NA,NA,NA,NA,NA,"This target does not contribute towards an initiative commitment",NA,"Do not know","No","Climate impact from food should be reduced by 50 % from 2018 to 2035. We need to find a way to measure at municipality level. Today we assume that we follow the statistics at national lelvel.",149280,2020,NA,"2021-10-04T09:30:14.243","Helsingborg","City","SWE"
2021,36158,"Comune di Napoli","Napoli","Italy","Europe","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2005,2012,2913413,25,2020,2185059.75,NA,NA,NA,NA,20,"Global Covenant of Mayors for Climate & Energy",NA,"Do not know","Yes","The SEAP, issued together with ANEA (Agenzia Napoli Energia Ambiente) and DETEC (Dipartimento di Energetica TErmofluidodinamica applicata e Condizionamenti ambientali) of University Federico II of Naples, aims to achieve a reduction of CO2 emissions of 25% compared to the ones of 2005 by 2020. The emissions of 2005 are in the BEI attached above. The Municipality is about to join the Covenant of Mayors for Climate & Energy and so will aim to reduce by 40% the emissions of CO2 by the end of 2030.",983755,2014,"POINT (14.2514 40.842)","2021-10-04T09:30:14.243","Naples","City","ITA"
2021,54521,"BCP Council","Bournemouth","United Kingdom","Europe","public","City / Municipality","Fixed level target","All emissions sources included in city inventory","none","Local Government Operations – covers only emission sources owned and operated by local government",NA,2019,NA,NA,2030,0,NA,NA,NA,NA,0,"Global Covenant of Mayors for Climate & Energy; One Planet City Challenge",NA,"Yes - 1.5 °C","No","Council to be carbon neutral by 2030 (more ambitious than national target) - data for 2020/21 not finalised yet.",395780,2021,"POINT (-1.88076 50.7192)","2021-10-04T09:30:14.243","Bournemouth","City","GBR"
2021,841980,"Karsiyaka Municipality","Karsiyaka","Turkey","Europe","public","City / Municipality","Base year emissions (absolute) target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350000,2020,"POINT (27.1152 38.4596)","2021-10-04T09:30:14.243","Karsiyaka - Izmir","City","TUR"
2021,54253,"Wollongong City Council","Wollongong","Australia","Southeast Asia and Oceania","public","City / Municipality","Fixed level target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",NA,2017,NA,NA,2050,0,311064,NA,NA,NA,26,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 2 °C","Yes, but it exceeds its scale or requirement","our target is net zero emissions by 2050, indicating at this point in time there will be residual emissions from waste that will need to be offset. We also have an emissions reduction target of net zero emissions by 2030 for Council operations. Our emissions have reduced significantly due to increased data accuracy across a number of sectors including transport and industrial energy consumption",222601,2021,"POINT (150.893 -34.4278)","2021-10-04T09:30:14.243","Wollongong","City","AUS"
2021,840371,"Falkoping Kommun","Falköping","Sweden","Europe","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",1990,2021,329876,100,2030,0,NA,NA,NA,NA,NA,"Global Covenant of Mayors for Climate & Energy; One Planet City Challenge",NA,"Yes - 1.5 °C","Yes, but it exceeds its scale or requirement","Fossil Free Falköping 2030",33334,2020,NA,"2021-10-04T09:30:14.243","Falköping","City","SWE"
2021,859106,"City of Kanazawa",NA,"Japan","East Asia","public","Special city","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2013,2021,3537000,30,2030,2475900,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,465000,2018,NA,"2021-10-04T09:30:14.243","Kanazawa","City","JPN"
2021,60337,"Prefeitura de Quissamã",NA,"Brazil","Latin America","public","City / Municipality","Base year intensity target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20242,2010,NA,"2021-10-04T09:30:14.243","Quissamã","City","BRA"
2021,859177,"Takeo City",NA,"Japan","East Asia","public","City / Municipality","Base year emissions (absolute) target",NA,NA,"Local Government Operations - covers only emission sources owned and operated by local government",2016,2018,6415,10,2022,5773.5,NA,NA,NA,NA,10.74,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Takeo","City","JPN"
