Account number,Organization,City,Country,Region,C40,Access,Reporting year,Accounting year,Boundary,Protocol,Protocol column,Gases included,Total emissions (metric tonnes CO2e),Scopes Included ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Comment,Increase/Decrease from last year,Reason for increase/decrease in emissions,Population,Population year,GDP,GDP Currency,GDP Year,GDP Source,Average annual temperature (in Celsius)​,​Average altitude (m),​Land area (in square km),City Location,Country Location
54402,City of Lahti,Lahti,Finland,Europe,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"With some national modifications. Emissions and energy use are calculated from year 2015, when Lahti had not yet united with neighbouring community Nastola. Lahti had 103914 inhabitants and its area was 518 sq-km.",CO2; CH4; N2O,717200,Total Scope 1 and Scope 2,717200,157607,"Energy production CHP, process power, wastes and waste water calculations quite high level of confidence. Traffic calculation is based on national LIISA model, not actual emissions. Separate heating, industrial machinery, agriculture and its energy use are not so high level of confidence, because information harder to find .and emission calculatios are based on statistics. Calculations are made with national tool called KASVENER (2007), but with updated GWP factors.",Decreased,Decreased from baseline year 1990. New waste gasification plant 2012 and collecting separate energy waste from citizens. Effective waste water treatment with collecting biogas before composting the sludge. Effective and energy-efficient waste and biowaste collection and treatment (new biogas plant 2014). Better energy effiency in buildings.,119452,2016,6225000000,EUR     Euro,2014,"http://www.tilastokeskus.fi/tup/suoluk/suoluk_vaesto.html#maakuntienpinta-ala,väestöjabruttokansantuote",4.4,90,459.4,"(60.9833, 25.65)","(61.92411, 25.748151)"
50541,City of Greensboro,Greensboro,USA,North America,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2,4467691,Total Scope 1 and Scope 2,,,,Decreased,"The inventory prepared in 2015 (based on 2013 data) indicated a decrease in GHG emissions compared with the prior inventory prepared in 2010 (based on 2007 data).  The 2007 inventory found that a total of 5,365,412 tons of CO2e​ were emitted in Greensboro.  The 2013 inventory showed a decrease of 897,721 tons to 4,467,691 tons of CO2e.

Among the factors found to be contributing to this reduction were:  1) greater energy efficiency and conservation in the residential and commercial sectors; 2) reduced number of industrial operations that are highly energy intensive; 3) conversion of Duke Energy's power generation plant fleet away from coal-fired units to natural gas fired units; and 4) reduced total motor vehicle miles traveled in Greensboro.

Additional factors that may have influenced this reduction include:  1) the national economic recession, during which many commercial and industrial sectors experienced significant contractions, many workers were unemployed, and many households downsized to smaller less energy consuming dwellings; and 2) the Better Buildings for Greensboro program, which received $4.7M through American Recovery and Reinvestment Act of 2009.  The program provided:  a) free compact fluorescent lightbulbs, b) low-flow showerheads, c) Kill-A-Watt energy usage meters, d) home energy efficiency audits e) low-interest financing for purchase of energy-efficient appliances, f) energy bill rebates for home energy-efficiency upgrades, and g) funding for energy-efficiency upgrades to business and government buildings.",287027,2017,,,,,15,272,346.5,"(36.072635, -79.791975)","(37.09024, -95.712891)"
50154,City of Turku,Turku,Finland,Europe,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), fuels for industry and machinery, road traffic, other traffic, agriculture and waste management.",CO2; CH4; N2O,840800,Total Scope 1 and Scope 2,368300,472400,See answer to question C1.13a. Inventory report is available only in Finnish.,Decreased,Due to weather conditions the demand for heat was low. In Finland the emission factor for electricity was low. Also other sectors decreased.,187000,2016,8700000000,USD     US Dollar,2012,Statistics Finland,5.5,10,246,"(60.4518126, 22.2666303)","(61.92411, 25.748151)"
54111,City of Iowa City,Iowa ,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",This the first year Iowa City has used this protocol to report ghgs.,,1045993,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",612546,433447,,Decreased,"Our utility provider, MidAmerican Energy is moving towards 100% renewables for electricity. The University of Iowa has increased the use of biofuels in their power plant and the City has increased energy efficiency standards in the building code. The population of Iowa City has increased, but the per capita emissions have decreased since we have been tracking emissions.",74220,2015,8564000000,USD     US Dollar,2013,BEA-for Metropolitan Statistical Area,10.5,203,65.5,"(41.6611, -91.5302)","(37.09024, -95.712891)"
54085,City of Savannah,Savannah,USA,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),,CO2; CH4; N2O,3609546,Total Scope 1 and Scope 2,2381327,1228219,"Inventory contains information on in-boundary transportation (transit, passenger, freight), electricity generation (residential, commercial and industrial) and stationary fuel combustion (residential, commercial and industrial).  All water and waste related emissions are already included in the municipal inventory.",This is our first year of calculation,,145674,2015,15905000000,USD     US Dollar,2014,Bureau of Economic Analysis:  http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=42340&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels,19,15,175,"(32.0835, -81.0998)","(37.09024, -95.712891)"
54046,City of Brownsville,Brownsville,USA,North America,,Public,2017,2015-10-01 - 2016-09-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,2165653,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1448514,717139,,Other: Change in boundary,This year's emissions inventory includes new sources and improved methodology. At this time the appropriate base line adjustments have not been made so the cause of the decreased emissions is unknown. The base line adjustments will be made this year to determine the reason for the change.,183887,2015,8631000000,USD     US Dollar,2013,U.S. Bureau of Economic Analysis,23.6,11,378.1,"(25.9017, -97.4975)","(37.09024, -95.712891)"
42120,City of Salvador,Salvador,Brazil,Latin America,C40,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,3661647,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",3242166,366395,,,,2902927,2014,4745,,2012,IBGE,26,8,692,"(-12.97304, -38.502304)","(-14.235004, -51.92528)"
31108,City of Houston,Houston,USA,North America,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2; CH4; N2O,33428301,Total Scope 1 and Scope 2,18917039,14511262,Medium Confidence,Stayed the same,"We are using the same inventory we submitted last year, and that was our first year conducting a community-wide GHG inventory using the ICLEI Community Protocol.",2296224,2015,503300000000,USD     US Dollar,2015,http://www.houston.org/assets/pdf/economy/EmploymentForecast-2017-web.pdf,19,15,1625,"(29.7601927, -95.3693896)","(37.09024, -95.712891)"
59996,Batangas City,Batangas,Philippines,South Asia and Oceania,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other: IPCC,,CO2; CH4; N2O,657636,Total Scope 1 and Scope 2,524577,133059,N/A,Increased,A 25% increase in the GHG emissions from 2010 were identified. Increase in economic activities and population was the main reason of emissions change.,354170,2016,,,,,26,10,285,"(13.7565, 121.0583)","(12.879721, 121.774017)"
50579,City of Winnipeg,Winnipeg,Canada,North America,,Public,2017,2011-01-01 - 2011-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas emissions version 1.0ICLEI - Local Government for Sustainability USA 2012,CO2; CH4; N2O,5379024,Total Scope 1 and Scope 2,5360740,18284,Emission inventory was conducted and verified by an external third-party consultant,Increased,"Since our last GHG inventory in 1998, total GHG emissions have risen 2.31%, which can be largely attributed to increases in vehicle & transit sectors, as well as waste collection, water & wastewater sectors. Conversely, building electricity and natural gas usage demonstrates dramatic decreases since 1998.",735600,2016,36000000000,CAD     Canadian Dollar,2015,Economic Development Winnipeg,2.4,230,464,"(49.8997541, -97.1374937)","(56.130366, -106.346771)"
60656,"City of Piedmont, CA","Piedmont, CA",USA,North America,,Public,2017,2010-01-01 - 2011-01-01,Other,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",17876,25566,,Decreased,"They have decreased due to a decrease in electricity and gas usage usage in the residential sector as well an increased renewable-generated portfolio of electricity sources, specifically hydropower.",11082,2013,360400000000,USD     US Dollar,2013,San Francisco/Oakland/Hayward Metropolitan Area GDP: http://www.usmayors.org/metroeconomies/2013/201311-charts.pdf,15,101,4.3,"(37.8244, -122.2316)","(37.09024, -95.712891)"
54337,Greater Amman Municipality,Amman ,Jordan,South and West Asia,C40,Public,2017,2014-01-01 - 2014-12-31,A metropolitan area,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,CO2; CH4; N2O,7215407,Total Scope 1 and Scope 2,3322603,3892804,"Much of the data is not collected by the city, but is based on national figures. Transport data is estimated using VISUM traffic model.",This is our first year of calculation,GHG Inventory will be updated by July 2017,3705490,2016,11202000000,JOD     Jordanian Dinar,2015,Ministry of Energy and Mineral Resources,17,900,800,"(31.945367, 35.928372)","(30.585164, 36.238414)"
43907,City of Indianapolis,Indianapolis,USA,North America,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,Other: Hestia Project,The data was collected through the Hestia Project by researchers at Purdue University and collaborators. It is based on direct measurements (with monitors and aircraft) and extensive modelling (hestia.project.asu.edu/). Note that this analysis does not does not compare directly to other protocols and does not necessarily include all scope 2 emissions. Indianapolis is working on a GPC inventory as well. http://hestia.project.asu.edu/uploads/Gurney.ES&T.2012.final.proof.pdf,CO2,2160365,Total Scope 1 and Scope 2,726155.11,1434209.86,"The data was collected through the Hestia Project by researchers at Purdue University and collaborators. It is based on direct measurements (with monitors and aircraft) and extensive modeling (hestia.project.asu.edu/). Note that this analysis does not does not compare directly to other protocols and does not necessarily include all scope 2 emissions. Indianapolis is working on a GPC inventory as well. Though the reported number has been tested and reported through peer-reviewed journals, there is limited confidence in the comparability to other cities. Published in Environmental Science and Technology by Kevin R. Gurney, Igor Razlivanov, Yang Song, Yuyu Zhou, Bedrich Benes,and Michel Abdul-Massihhttp://hestia.project.asu.edu/uploads/Gurney.ES&T.2012.final.proof.pdf",This is our first year of calculation,,853000,2015,125000000000,USD     US Dollar,2014,Note this is Metro-area based: http://bea.gov/newsreleases/regional/gdp_metro/2014/pdf/gdp_metro0914.pdf,11.7,230,953,"(39.767625, -86.178469)","(37.09024, -95.712891)"
35853,City of Baltimore,Baltimore,USA,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI); with support from Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI) Once completed, these inventories provide the basis for an emission forecast, and allow for the quantification of emission reductions associated with proposed measures.Baltimore City’s Greenhouse Gas Emissions Inventory consists of two essentially distinct inventories: one for the Baltimore City community as a whole, defined by geographic borders, and one highlighting emissions resulting from the City of Baltimore’s Government operations and buildings owned. The Government Inventory is a subset of the Community Inventory (emissions from the municipal operations are embedded in the community inventory). Distinguishing the City Governmental emissions in this way allows the City, which formally committed to reducing emissions, to lead by example in tracking its own facilities and vehicles while evaluating the effectiveness of its emission reduction efforts.Compiling Baltimore City’s emissions inventory required the collection of information from a variety of sources. The data represents 2010 energy usage, except where notes indicate data gaps that necessitated use of older records.For our scope, all emissions associated with energy consumed in Baltimore City are included, regardless of the location of the original energy source. This means that, even though the electricity used by Baltimore residents is produced in a plant outside of Baltimore City’s geographical borders, this energy and the emissions associated with it appear in Baltimore City’s inventory. The decision to capture emissions in this way reflects the general philosophy that a community should take full responsibility for the impacts associated with its energy consumption, regardless of where the energy generation occurs.",CO2; CH4; N2O,7230859,Total Scope 1 and Scope 2,12032078,3211447,"medium/high. High confidence in stationary energy combustion and transportation emissions. Medium confidence in solid waste emissions (landfill waste emissions) due to proxy for landfill waste characterization, assumptions made for landfill gas capture system efficiency. High confidence about incineration activities in the City due to directly monitored emissions data received from EPA",Increased,"Natural gas consumption decreased in residential sector but increased in commercial and industrial sectors. Electricity consumption increased across the board. Even though electricity emissions factors decreased in 2014, the increase in electricity consumption offset improvements in emissions factors. On-road and rail activity increased. Solid waste generation decreased slightly due to increased diversion of waste from the landfill but waste water generation increased.",614664,2016,43700000000000,USD     US Dollar,2016,National Association of Counties/U.S. Bureau of Economic Analysis,14.7,240,210,"(39.2903848, -76.6121893)","(37.09024, -95.712891)"
3429,City of Stockholm,Stockholm,Sweden,Europe,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Latest available data is from 2015.The total emissions for the community include:Scope 1 & 3 emissions from district heating & cooling system and other in-boundary fuel combustion for heatingScope 2 & 3 emissions of the district heating and house-hold electricity consumption within the community boundaryScope 1 & 3 emissions of use of gas e.g. cookingScope 2 & 3 emissions for electricity use in the transportation system (metro, commuter, train) within the communityScope 1 & 3 emissions for the fuel consumption from road traffic, non-road vehicles and shipping, & scope 1 emissions from aviation (within the landing & take-off cycle, i.e. up to 915m).This means that scope 3 emissions from transport of inhabitants outside the community boundary is not included (but transport of non-inhabitants within the community boundary is). Emission from household waste incineration is embedded in the district heating emissions, since household waste is a source of energy used in district heating. Energy use for waste-water handling is included in the total community energy use.Emission factors are collected from a report published by Swedish Environmental Research Institute Ltd. (IVL) in 2001 and Thermal Engineering Research Institute (Värmeforsk) in 2011. The reports are widely used and acknowledged. The global warming potentials are GWP100 from IPCC 2013, as recommended by the Swedish Environmental Protection Agency (SEPA).Energy statistics are collected from different sources: district heating & gas statistics are collected from the companies; electricity statistics is compiled and collected from Statistics Sweden; emissions from road transport is modeled using an extensive emission model combined with a road model over Stockholm (includes a variety vehicles, speeds, road types etc) and non-road emissions are taken from Statistics Sweden; marine emissions within the community boundary are based on emissions & energy use presented in environmental reports from shipping companies and Ports of Stockholm.",,1796590,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1834343,859099,,Decreased,"Total emissions from the categories in Stockholm estimates at system boundaries have been reduced significantly over the past 10 years. Meanwhile, the population has grown by about 200 000 inhabitants. In Stockholm, it can be said that the reduction in per capita emissions by half will depend on the actual response, half of the population growth.
The greenhouse gas emissions in Stockholm is calculated to 2.5 tonnes per capita in 2015, which can be compared to 2.6 tonnes per capita in 2014. Energy use for heating has decreased, which is due to energy efficiency measures and conversions (from oil to heat pumps). Stockholm has a clear reduction of the energy supply per capita for heating sector. Electricity use is however quite constant. The car traffic is constant in the last years even though the population has increased. However, there has been an increase in truck traffic. The overall greenhouse gas emissions from transportation is constant over the last years.",923516,2015,416797,,2013,GDP is in (ppp)(mllion) source: Statistics Sweden,7,50,216,"(59.3293235, 18.0685808)","(60.128161, 18.643501)"
31175,City of Paris,Paris,France,Europe,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Since 2014, Paris translate its emission inventory in GPC protocol.",,5489249,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",3359242,1836421,,Decreased,"Thanks to Paris' climate change policy especially on sustainable mobility, social housing retrofitting, etc...",2265886,2015,256000000000,EUR     Euro,2015,national governement,13.5,26,105,"(48.856614, 2.3522219)","(46.227638, 2.213749)"
