Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update
2018,54668,Prefeitura Municipal de Aparecida de Goiânia,Aparecida de Goiânia,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,542090,2017,POINT (-49.2648 -16.6869),2020-05-01T03:57:54.890
2018,36492,Comune di Parma,Parma,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,0,POINT (10.3279 44.8015),2020-05-01T03:57:54.890
2018,31150,Bangkok Metropolitan Administration,Bangkok,Thailand,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2013-01-01 - 2013-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,27292982,19947352,3120584,,,This is our first year of calculation,,,5682415,2017,POINT (100.556 13.7712),2020-05-01T03:57:54.890
2018,50672,Município de Santarém,Santarém,Portugal,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,Other: We used the covenant of mayors guidance.,The emissions factores  used were those indicated by 2006 IPCC.,,CO2,,,,,,,,60896,,Not Applicable,Not Applicable,,,,61200,2011,POINT (-8.68599 39.2367),2020-05-01T03:57:54.890
2018,37038,City of Cologne,Cologne,Germany,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,1069192,2016,POINT (6.9583 50.9414),2020-05-01T03:57:54.890
2018,50550,City of Buffalo,"Buffalo, NY",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,258612,2017,POINT (-78.8784 42.8864),2020-05-01T03:57:54.890
2018,36002,Ville de Kinshasa,Ville de Kinshasa,Democratic Republic of the Congo,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,17071000,2017,POINT (15.2663 -4.44193),2020-05-01T03:57:54.890
2018,74504,"City of Ramsey, MN",Ramsey,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Not intending to undertake,,,,,,,,,,,,,,,,,,,,,26462,2017,POINT (-93.45 45.2611),2020-05-01T03:57:54.890
2018,58461,Stara Zagora,Stara Zagora,Bulgaria,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,0,POINT (25.6345 42.4258),2020-05-01T03:57:54.890
2018,54687,Prefeitura Municipal de São José dos Campos,São José dos Campos,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,703219,2017,POINT (-45.8783 -23.1848),2020-05-01T03:57:54.890
2018,35857,City of Cincinnati,Cincinnati,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,4346533,3251940,,7600000,,Stayed the same,No new inventory to report,,298800,2016,POINT (-84.512 39.1031),2020-05-01T03:57:54.890
2018,54513,Municipality of Uppsala,Uppsala,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,0,POINT (17.635 59.8536),2020-05-01T03:57:54.890
2018,50396,Prefeitura Municipal de Santos,Santos,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,434742,2017,POINT (-46.3289 -23.9679),2020-05-01T03:57:54.890
2018,831962,Município de Montalegre,Montalegre,Portugal,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,9280,2017,POINT (-7.7879 41.8266),2020-05-01T03:57:54.890
2018,54104,City of Boulder,Boulder,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,771673,803264,163609,1598862,,Decreased,Behavioural change,,108707,2016,POINT (-105.252 40.0274),2020-05-01T03:57:54.890
2018,49330,Kansas City,Kansas City,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,8131805,6288235,306164,10593687,10908792,Decreased,,,467007,2013,POINT (-94.573 39.1429),2020-05-01T03:57:54.890
2018,73301,"City of Gretna, LA",Gretna,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Intending to undertake in future,,,,,,,,,,,,,,,,,,,,,17935,2017,POINT (-90.0542 29.9164),2020-05-01T03:57:54.890
2018,31186,Changwon City,Changwon,Republic of Korea,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,4652219,5605221,,10257440,,Increased,Increased energy/electricity consumption,,1072657,2017,POINT (126.949 35.1542),2020-05-01T03:57:54.890
2018,35904,Kolkata Metropolitan Area,Kolkata,India,South and West Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,14030000,2011,POINT (88.3639 22.5726),2020-05-01T03:57:54.890
2018,54459,City of Reykjavík,Reykjavík,Iceland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,249924,16344,0,354641,368017,Increased,Improved data accuracy,,123246,2017,POINT (-21.8174 64.1265),2020-05-01T03:57:54.890
2018,36037,Santiago de Cali,Santiago de Cali,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,,,,,,,,,,,,,,,,,,,,2369829,2015,POINT (-76.532 3.45164),2020-05-01T03:57:54.890
2018,54637,Alcaldía de Cuenca,Cuenca,Ecuador,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,,,,,,,,,,,,,,,,,,,505585,2010,POINT (-79.0048 -2.90841),2020-05-01T03:57:54.890
2018,31187,Seoul Metropolitan Government,Seoul,Republic of Korea,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,22581000,21572000,1492000,45646000,45646000,Decreased,Policy change,,10112070,2017,POINT (126.978 37.5665),2020-05-01T03:57:54.890
2018,73247,Prefeitura de Bayeux,Bayeux,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,98716,2016,POINT (-34.9268 -7.12505),2020-05-01T03:57:54.890
2018,35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni,South Africa,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,,,,,,,,,,,,,,,,,,,,3379104,2016,POINT (28.3462 -26.1777),2020-05-01T03:57:54.890
2018,54119,City of Palo Alto,Palo Alto,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,Regional or country specific methodology,Palo Alto’s follows the protocols required by The Climate Registry:  1.  Local Government Operations Protocol (LGOP)2. The Climate Registry’s General Reporting Protocol (GRP) 3. The Climate Registry’s Electric Power Sector Protocol (EPS),,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,173951,0,437241,Not Applicable,Not Applicable,Decreased,Policy change,,66649,2017,POINT (-122.143 37.4419),2020-05-01T03:57:54.890
2018,50578,City of Windsor,Windsor,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2593309,,,1898713,2038252,Decreased,Legislative change,,217188,2016,POINT (-83.0364 42.3149),2020-05-01T03:57:54.890
2018,31109,City of Melbourne,City of Melbourne,Australia,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,955783,3448994,644485,4678193,,Decreased,Change in data collection methods,,151176,2017,POINT (144.963 -37.8141),2020-05-01T03:57:54.890
2018,52894,City of Winston-Salem,Winston-Salem,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,242203,2016,POINT (-80.2442 36.0999),2020-05-01T03:57:54.890
2018,36041,Municipality of Belém,Belém,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,1393399,2010,POINT (28.3111 -28.2423),2020-05-01T03:57:54.890
2018,43969,Ciudad de Asunción,Asunción,Paraguay,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,525252,2017,POINT (-57.5759 -25.2637),2020-05-01T03:57:54.890
2018,58610,Municipality of Hjørring,Hjørring,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Other: Energy plan for Hjoerring Municipality,,,,,,,,,,,,,,,,,,,,0,POINT (9.9958 57.4568),2020-05-01T03:57:54.890
2018,831433,Comuna de Ataliva,Ataliva,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,2500,2010,POINT (61 31),2020-05-01T03:57:54.890
2018,826207,Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV),JIMAV,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,No,,,,,,,,,,,,,,,,,,,,,371457,2015,POINT (-104.367 19.7682),2020-05-01T03:57:54.890
2018,36263,Comune di Ravenna,Ravenna,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,,,,,,,,,,,,,,,,,,,,0,POINT (12.518 41.913),2020-05-01T03:57:54.890
2018,36265,Comune di Reggio Emilia,Reggio Emilia,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,,0,POINT (10.8774 44.4376),2020-05-01T03:57:54.890
2018,50381,Municipio de Torreón,Torreón,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Intending to undertake in future,,,,,,,,,,,,,,,,,,,,,639629,2010,POINT (-103.407 25.5428),2020-05-01T03:57:54.890
2018,31090,District of Columbia,"Washington, DC",United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2952904.19,4088910.4,443120.6,7270052.15,,Decreased,,,693972,2017,POINT (-77.0369 38.9072),2020-05-01T03:57:54.890
2018,31167,City of Lagos,Lagos,Nigeria,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,25640207,3693744,1684376,29333951,31018327,This is our first year of calculation,,,24821418,2017,POINT (3.3792 6.52437),2020-05-01T03:57:54.890
2018,59165,Gladsaxe Kommune,Gladsaxe,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,249706,83061,,332767,,Decreased,Behavioural change,,68775,2017,POINT (12.4887 55.7335),2020-05-01T03:57:54.890
2018,58671,Helsingør Kommune / Elsinore Municipality,Helsingør,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,216124,264729,Decreased,Technological change,,62686,2017,POINT (12.5921 56.0308),2020-05-01T03:57:54.890
2018,826407,Munícipio de Mirandela,Mirandela,Portugal,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,11852,2011,POINT (-7.1753 41.51),2020-05-01T03:57:54.890
2018,43920,City of Ljubljana,Ljubljana,Slovenia,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,,,,,,,,,,,,,,,,,,,,,288307,2017,POINT (14.5058 46.0569),2020-05-01T03:57:54.890
2018,35867,Region Metropolitana de Guadalajara,Guadalajara,Mexico,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3900882,4831,598958,4504221,0,This is our first year of calculation,Lack of resource / funding overcome,,1460148,2015,POINT (-103.35 20.6597),2020-05-01T03:57:54.890
2018,43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,9118050,1089611,578066,7750281,10266557,Increased,Population increase,,1657200,2017,POINT (174.742 -36.8153),2020-05-01T03:57:54.890
2018,31115,City of Johannesburg,Johannesburg,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,15772974,,,24716713,27351000,Decreased,Financial conditions,,4900000,2016,POINT (28.0473 -26.2041),2020-05-01T03:57:54.890
2018,50154,City of Turku,Turku,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), fuels for industry and machinery, road traffic, other traffic, agriculture and waste management.",,"CH4, CO2, N20",,,,,,,412100,513500,,Not Applicable,Not Applicable,Increased,Change in weather conditions,,190000,2017,POINT (22.2666 60.4518),2020-05-01T03:57:54.890
2018,54291,Chengdu Municipal Government,Chengdu,China,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,1435.3,2017,POINT (104.076 30.6719),2020-05-01T03:57:54.890
2018,73706,City of Alameda,Alameda,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,300517,118860,5684,421487,421854,Increased,Increased energy/electricity consumption,,75961,2017,POINT (122.163 37.4522),2020-05-01T03:57:54.890
2018,63616,Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,Middle East,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2010-12-31 - 2011-12-31,Administrative boundary of a local government,,,,,,,,,,,,,,,,,,,32000,2017,POINT (34.344 31.3231),2020-05-01T03:57:54.890
2018,60206,City of Jelgava,Jelgava,Latvia,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,,,,,,,,,,,,,,,,,,,,,,,0,POINT (23.7214 56.6511),2020-05-01T03:57:54.890
2018,55801,City of West Palm Beach,West Palm Beach,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,383625,789569,21146.7,1484767,0,Decreased,Policy change,,108161,2017,POINT (-80.0534 26.7153),2020-05-01T03:57:54.890
2018,50782,Dhaka City,Dhaka,Bangladesh,South and West Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,4500000,0,POINT (90.4125 23.8103),2020-05-01T03:57:54.890
2018,73530,"Town of Lexington, MA","Lexington, MA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,City specific methodology,We developed our own protocol for determining GHG emissions. We are hoping to convert to an industry standard methodology.,,"CH4, CO2",,,,,,,235202,171221,,Not Applicable,Not Applicable,Decreased,Behavioural change,,31394,2010,POINT (-71.2269 42.4443),2020-05-01T03:57:54.890
